Release Type,Name,Title,Localized Title,serial
Redump,70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 4),70's Robot Anime - Geppy-X - The Super Boosted Armor (Disc 4),´７０年代風ロボット・アニメ　ゲッＰ‐Ｘ (DISC 4),SLPS-01998
Redump,70's Robot Anime - Geppy-X (Japan) (Demo),70's Robot Anime - Geppy-X (Demo),´７０年代風ロボット・アニメ　ゲッＰ－Ｘ,SLPM-80387
Redump,'98 Koushien - Koukou Yakyuu Simulation (Japan),'98 Koushien - Koukou Yakyuu Simulation,高校野球シミュレーション　’９８　ＹＥＡＲ　甲子園,SLPS-01204
Redump,'98 Koushien (Japan) (Demo),'98 Koushien (Demo),’９８　甲子園,SLPM-80238
Redump,'99 Koushien (Japan),'99 Koushien,’９９甲子園,SLPS-02110
Redump,'99 Koushien (Japan) (Demo),'99 Koushien (Taikenban),’９９甲子園,SLPM-80421
Redump,A Ressha de Ikou 4 - Evolution (Japan),A Ressha de Ikou 4 - Evolution,Ａ．Ⅳ．エヴォリューション　～Ａ列車で行こう４～,SLPS-00004
Redump,A Ressha de Ikou 4 - Evolution (Japan) (Gentei Set),A Ressha de Ikou 4 - Evolution (Gentei Set),Ａ．Ⅳ．エヴォリューション　～Ａ列車で行こう４～,SLPS-00011
Redump,A Ressha de Ikou 4 - Evolution (Japan) (Rev 1),A Ressha de Ikou 4 - Evolution,Ａ．Ⅳ．エヴォリューション　～Ａ列車で行こう４～,SLPS-00004
Redump,"A Ressha de Ikou 4 - Evolution Global (Japan) (En,Ja,Fr,De)",A Ressha de Ikou 4 - Evolution Global,Ａ．Ⅳ．エヴォリューション・グローバル　～Ａ列車で行こう４グローバル～,SLPS-00125
Redump,"A Ressha de Ikou 4 - Evolution Global (Japan) (En,Ja,Fr,De) (PlayStation the Best)",A Ressha de Ikou 4 - Evolution Global (PlayStation the Best),Ａ．Ⅳ．エヴォリューション・グローバル　～Ａ列車で行こう４グローバル～,SLPS-91019
Redump,A Ressha de Ikou Z - Mezase! Tairiku Oudan (Japan),A Ressha de Ikou Z - Mezase! Tairiku Oudan,Ａ列車で行こうＺ　目指せ！大陸横断,SLPS-02050
Redump,A Ressha de Ikou Z - Mezase! Tairiku Oudan (Japan),,,SLPS-02812
Redump,A Sangre Fria (Spain) (Disc 1),A Sangre Fria (Disc 1),,SCES-02153
Redump,A Sangre Fria (Spain) (Disc 2),A Sangre Fria (Disc 2),,SCES-12153
Redump,A Sangue Freddo (Italy) (Disc 1),A Sangue Freddo (Disc 1),,SCES-02152
Redump,A Sangue Freddo (Italy) (Disc 2),A Sangue Freddo (Disc 2),,SCES-12152
Redump,"A.IV - Evolution Global (Europe) (En,Ja,Fr,De)",A.IV - Evolution Global,,SCES-00290
Redump,A2 Racer - Europa Tour (Netherlands),A2 Racer - Europa Tour,,SLES-02695
Redump,"A5 - A Ressha de Ikou 5 (Japan, Asia)",A5 - A Ressha de Ikou 5,Ａ５　Ａ列車で行こう５,SLPS-01120
Redump,"A5 - A Ressha de Ikou 5 (Japan, Asia)",,,SCPS-45153
Redump,"A5 - A Ressha de Ikou 5 (Japan, Asia)",A5 - A Ressha de Ikou 5 [Playstation The Best],,SLPS-91124
Redump,AbalaBurn (Japan),AbalaBurn,アバラバーン,SLPS-01280
Redump,Abe '99 (Japan) (Disc 1),Abe '99 (Disc 1),エイブ’９９ (DISC 1),SLPS-02095
Redump,Abe '99 (Japan) (Disc 2),Abe '99 (Disc 2),エイブ’９９ (DISC 2),SLPS-02096
Redump,Abe a GoGo (Japan),Abe a GoGo,エイブ・ア・ゴーゴー,SLPS-01118
Redump,Abe a GoGo (Japan) (Demo),Abe a GoGo (Demo),エイブ・ア・ゴーゴー,SLPM-80175
Redump,"Absolute Football (France) (En,Fr,De,Es,It,Pt)",Absolute Football,,SLES-01341
Redump,Ace Combat (Japan),Ace Combat,エースコンバット,SLPS-00061
Redump,Ace Combat (Japan),,,SLPS-91005
Redump,Ace Combat 2 (Europe),Ace Combat 2,,SCES-00699
Redump,Ace Combat 2 (France),Ace Combat 2,,SCES-00901
Redump,Ace Combat 2 (Germany),Ace Combat 2,,SCES-00902
Redump,Ace Combat 2 (Japan),Ace Combat 2,エースコンバット２,SLPS-00830
Redump,Ace Combat 2 (Japan) (Rev 1),Ace Combat 2,エースコンバット２,SLPS-00830
Redump,Ace Combat 2 (Japan) (Rev 1),,,SLPS-91146
Redump,Ace Combat 2 (USA),Ace Combat 2,,SLUS-00404
Redump,Ace Combat 3 - Electrosphere - Direct Audio with AppenDisc (Japan),Ace Combat 3 - Electrosphere - Direct Audio with AppenDisc,エースコンバット３　エレクトロスフィア　ダイレクト・オーディオ　ｗｉｔｈ　ＡｐｐｅｎＤｉｓｃ,SLPM-80453
Redump,"Ace Combat 3 - Electrosphere (Europe) (En,Fr,De,Es,It)",Ace Combat 3 - Electrosphere,,SCES-02066
Redump,Ace Combat 3 - Electrosphere (Japan) (Disc 1),Ace Combat 3 - Electrosphere (Disc 1),エースコンバット３　エレクトロスフィア (DISC 1),SLPS-02020
Redump,Ace Combat 3 - Electrosphere (Japan) (Disc 1),,,SLPS-91214
Redump,Ace Combat 3 - Electrosphere (Japan) (Disc 2),Ace Combat 3 - Electrosphere (Disc 2),エースコンバット３　エレクトロスフィア (DISC 2),SLPS-02021
Redump,Ace Combat 3 - Electrosphere (Japan) (Disc 2),,,SLPS-91215
Redump,"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 1) (Rev 1)",Ace Combat 3 - Electrosphere (Disc 1),エースコンバット３　エレクトロスフィア (DISC 1),SLPS-02020
Redump,"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 1) (Rev 1)",,,SCPS-45397
Redump,"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 2) (Rev 1)",Ace Combat 3 - Electrosphere (Disc 2),エースコンバット３　エレクトロスフィア (DISC 2),SLPS-02021
Redump,"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 2) (Rev 1)",,,SCPS-45398
Redump,Ace Combat 3 - Electrosphere (USA),Ace Combat 3 - Electrosphere,,SLUS-00972
Redump,Aces of the Air (USA),Aces of the Air,,SLUS-01470
Redump,Acid (Japan),Acid,アシッド,SLPS-02119
Redump,Acid (Japan) (Demo),Acid (Demo),アシッド,SLPM-80430
Redump,Acid (Japan) (Major Wave),Acid (Major Wave),アシッド,SLPM-86589
Redump,Aconcagua (Japan) (Disc 1),Aconcagua (Disc 1),アコンカグア (DISC 1),SCPS-10131
Redump,Aconcagua (Japan) (Disc 2),Aconcagua (Disc 2),アコンカグア (DISC 2),SCPS-10132
Redump,Action Bass (Europe),Action Bass,,SLES-03105
Redump,Action Bass (Japan),Action Bass,アクション・バス,SLPM-86927
Redump,Action Bass (USA),Action Bass,,SLUS-01248
Redump,"Action Man - Destruction X (Europe) (En,Fr,De,Es,It)",Action Man - Destruction X,,SLES-03083
Redump,"Action Man - Mission Xtreme (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)",Action Man - Mission Xtreme,,SLES-01761
Redump,"Action Man - Mission Xtreme (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi) (EDC)",Action Man - Mission Xtreme,,SLES-01761
Redump,Action Man - Operation Extreme (USA),Action Man - Operation Extreme,,SLUS-00887
Redump,Activision Classics (USA),Activision Classics,,SLUS-00777
Redump,"Actua Golf (Europe) (En,Fr,De)",Actua Golf,,SLES-00015
Redump,Actua Golf (Japan),Actua Golf,アクチャー・ゴルフ,SLPS-00298
Redump,Actua Golf 2 (Europe),Actua Golf 2,,SLES-00044
Redump,Actua Golf 3 (Europe),Actua Golf 3,,SLES-01042
Redump,"Actua Ice Hockey (Europe) (En,Fr,De,Sv,Fi)",Actua Ice Hockey,,SLES-00188
Redump,Actua Ice Hockey (Japan),Actua Ice Hockey,アクチュア・アイスホッケー,SLPM-86078
Redump,Actua Ice Hockey 2 (Europe),Actua Ice Hockey 2,,SLES-01226
Redump,Actua Pool (Europe),Actua Pool,,SLES-01647
Redump,Actua Soccer - Club Edition (Europe),Actua Soccer - Club Edition,,SLES-00190
Redump,"Actua Soccer (Europe) (En,Fr)",Actua Soccer,,SLES-00014
Redump,"Actua Soccer (Europe) (En,Fr) (Rev 1)",Actua Soccer,,SLES-00014
Redump,Actua Soccer (Japan),Actua Soccer,アクチャーサッカー,SLPS-00297
Redump,"Actua Soccer 2 (Europe) (En,Fr)",Actua Soccer 2,,SLES-00021
Redump,"Actua Soccer 2 (Germany) (En,De)",Actua Soccer 2,,SLES-01029
Redump,Actua Soccer 2 (Italy),Actua Soccer 2,,SLES-01028
Redump,Actua Soccer 3 (Europe),Actua Soccer 3,,SLES-01210
Redump,Actua Soccer 3 (France),Actua Soccer 3,,SLES-01644
Redump,Actua Soccer 3 (Germany),Actua Soccer 3,,SLES-01645
Redump,Actua Soccer 3 (Italy),Actua Soccer 3,,SLES-01646
Redump,Actua Tennis (Europe),Actua Tennis,,SLES-00265
Redump,"Actua Tennis (Europe) (Fr,De)",Actua Tennis,,SLES-01396
Redump,Addie no Okurimono - To Moze from Addie (Japan),Addie no Okurimono - To Moze from Addie,アディのおくりもの　～ＴＯ　ＭＯＺＥ　ＦＲＯＭ　ＡＤＤＩＥ～,SCPS-10126
Redump,Addie no Okurimono - To Moze from Addie (Japan) (Demo),Addie no Okurimono - To Moze from Addie (Demo),アディのおくりもの　－ＴＯ　ＭＯＺＥ　ＦＲＯＭ　ＡＤＤＩＥ－,PAPX-90105
Redump,"Adiboo & Paziral's Secret (Europe) (En,Fr,De,Es,It)",Adiboo & Paziral's Secret,,SLES-04108
Redump,Adibou et l'Ombre Verte (France),Adibou et L'Ombre Verte,,SCES-03558
Redump,"Adidas Power Soccer (Europe) (En,Fr,De,Es,It)",Adidas Power Soccer,,SLES-00189
Redump,"Adidas Power Soccer (UK) (En,Fr,De,Es,It) (Demo)",Adidas Power Soccer (Demo),,SLES-00066
Redump,Adidas Power Soccer (USA),Adidas Power Soccer,,SCUS-94502
Redump,Adidas Power Soccer + Resident Evil + Shellshock + Descent (Europe),Euro Demo 08 (SCED-00360),,SCED-00360
Redump,Adidas Power Soccer 2 (Europe) (Demo),Adidas Power Soccer 2 (Demo),,SLED-00179
Redump,"Adidas Power Soccer 2 (Europe) (En,Fr,De,Es,It,Nl)",Adidas Power Soccer 2,,SLES-00857
Redump,"Adidas Power Soccer 98 (Europe) (En,Fr,De,Es,It,Nl)",Adidas Power Soccer 98,,SLES-01239
Redump,Adidas Power Soccer 98 (France) (Demo),Adidas Power Soccer 98 (Demo),,SLED-01310
Redump,Adidas Power Soccer 98 (Germany) (Demo),Adidas Power Soccer 98 (Demo),,SLED-01311
Redump,Adidas Power Soccer 98 (USA),Adidas Power Soccer 98,,SLUS-00547
Redump,"Adidas Power Soccer International '97 (Europe) (En,Fr,De,Es,It,Nl)",Adidas Power Soccer International '97,,SLES-00270
Redump,Adlib Ouji - ...to Fuyukai na Nakama-tachi! (Japan),Adlib Ouji - ...to Fuyukai na Nakamatachi!,,SLPS-03510
Redump,Advan Racing (Japan),Advan Racing,アドバン・レーシング,SLPS-01689
Redump,Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (Europe),Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft,,SLES-00386
Redump,Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (USA),Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft,,SLUS-00378
Redump,Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (USA) (Demo),Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft (Demo),,SLUS-00212
Redump,Advanced V.G. (Japan),Advanced V.G.,アドヴァンストＶＧ,SLPS-00208
Redump,Advanced V.G. (Japan) (Demo),Advanced V.G. (Demo),アドヴァンストＶＧ,SLPM-80017
Redump,Advanced V.G. 2 (Japan),Advanced V.G. 2,アドヴァンストＶＧ２,SLPS-01318
Redump,Advanced V.G. 2 (Japan) (Demo),,,SLPM-80311
Redump,Adventures of Lomax + Porsche Challenge + Pandemonium + Tomb Raider + 2 Xtreme + Reloaded (France),Euro Demo 06,,SCED-00610
Redump,"Adventures of Lomax, The (USA)",The Adventures of Lomax,,SCUS-94906
Redump,Aerodive (Japan),Aerodive,エアロダイブ,SLPS-02367
Redump,Affect Taikenban Vol. 1 (Japan),Affect Taikenban Vol. 1,アフェクト　体験版　Ｖｏｌ．１,SLPM-80552
Redump,AFL 99 (Australia),AFL 99,,SLES-01875
Redump,Afraid Gear (Japan),Afraid Gear,アフレイド・ギア,SLPS-00995
Redump,Afraid Gear Another (Japan),Afraid Gear Another,アフレイドギア・アナザ,SLPM-86834
Redump,Agent Armstrong - Himitsu Shirei Daisakusen (Japan),Agent Armstrong - Himitsu Shirei Daisakusen,エージェント・アームストロング　～秘密指令大作戦～,SLPS-01073
Redump,"Agent Armstrong (Europe) (En,Fr,De,Es)",Agent Armstrong,,SLES-00474
Redump,Agile Warrior - F-111X (Europe),Agile Warrior - F-111X,,SLES-00124
Redump,Agile Warrior - F-111X (Japan),Agile Warrior - F-111X,アジャイル・ウォーリアー,SLPS-00179
Redump,Agile Warrior - F-111X (USA),Agile Warrior - F-111X,,SLUS-00023
Redump,Aging Disk (Japan),Aging Disk,,PTPX-97002
Redump,AI Mahjong 2000 (Japan),AI Mahjong 2000,ＡＩ麻雀２０００,SLPS-02411
Redump,AI Mahjong Selection (Japan),AI Mahjong Selection,ＡＩ麻雀セレクション,SLPM-87117
Redump,AI Shougi (Japan),AI Shougi,ＡＩ将棋,SLPS-00109
Redump,AI Shougi 2 (Japan),AI Shougi 2,ＡＩ将棋２,SLPS-01159
Redump,AI Shougi 2 Deluxe (Japan),AI Shougi 2 Deluxe,ＡＩ将棋２デラックス,SLPS-02285
Redump,AI Shougi Selection (Japan),AI Shougi Selection,ＡＩ将棋ＳＥＬＥＣＴＩＯＮ,SLPM-87068
Redump,Ai to Yuujou no Neko Monogatari. Jingle Cats - Love Para Daisakusen no Maki (Japan),Ai to Yuujou no Neko Monogatari. - Jingle Cats - Love Para Daisakusen no Maki,,SLPS-01409
Redump,Air Combat (Europe),Air Combat,,SCES-00007
Redump,Air Combat (Europe) (EDC),Air Combat,,SCES-00007
Redump,Air Combat (USA),Air Combat,,SLUS-00001
Redump,Air Hockey (Europe),Air Hockey,,SLES-03743
Redump,Air Hockey (USA),Air Hockey,,SLUS-01467
Redump,Air Management '96 (Japan),Air Management '96,エアー・マネジメント’９６,SLPS-00269
Redump,Air Race (Europe),Air Race,,SLES-00762
Redump,AirAssault - The Red Mercury Missions (Japan),AirAssault - The Red Mercury Missions,エア・アサルト,SIPS-60005
Redump,AirAssault - The Red Mercury Missions (Japan) (Demo),AirAssault - The Red Mercury Missions (Demo),エア・アサルト,PCPX-96041
Redump,AirGrave (Japan),AirGrave,エアグレイブ,SLPS-00559
Redump,"Aironauts (Europe) (En,Fr,De)",Aironauts,,SLES-02137
Redump,AirRace Championship (Japan),AirRace Championship,エアレース・チャンピオンシップ,SLPS-01879
Redump,"Airs, The (Japan)",The Airs,エアーズ,SLPS-01916
Redump,Aishiau Koto Shika Dekinai (Japan),Aishiau Koto Shika Dekinai,愛しあう事しかできない,SLPS-01096
Redump,Aitakute... - Your Smiles in My Heart - Oroshitate no Diary - Introduction Disc (Japan),Aitakute... - Your Smiles in My Heart - Oroshitate no Diary - Introduction Disc,あいたくて…　おろしたてのダイアリージャンル,SLPM-80162
Redump,Aitakute... - Your Smiles in My Heart (Japan) (Disc 1),Aitakute... - Your Smiles in My Heart (Disc 1),あいたくて…　～ｙｏｕｒ　ｓｍｉｌｅｓ　ｉｎ　ｍｙ　ｈｅａｒｔ～ (DISC 1),SLPM-86254
Redump,Aitakute... - Your Smiles in My Heart (Japan) (Disc 2),Aitakute... - Your Smiles in My Heart (Disc 2),あいたくて…　～ｙｏｕｒ　ｓｍｉｌｅｓ　ｉｎ　ｍｙ　ｈｅａｒｔ～ (DISC 2),SLPM-86255
Redump,Aitakute... - Your Smiles in My Heart (Japan) (Disc 3),Aitakute... - Your Smiles in My Heart (Disc 3),あいたくて…　～ｙｏｕｒ　ｓｍｉｌｅｓ　ｉｎ　ｍｙ　ｈｅａｒｔ～ (DISC 3),SLPM-86256
Redump,Aitakute... - Your Smiles in My Heart (Japan) (Disc 4),Aitakute... - Your Smiles in My Heart (Disc 4),あいたくて…　～ｙｏｕｒ　ｓｍｉｌｅｓ　ｉｎ　ｍｙ　ｈｅａｒｔ～ (DISC 4),SLPM-86257
Redump,Akagawa Jirou - Majo-tachi no Nemuri - Fukkatsusai (Japan),Akagawa Jiro - Majo Tachi no Nemuri - Fukkatsusai,,SLPS-01863
Redump,Akagawa Jirou - Yasoukyoku (Japan),,,SLPS-01462
Redump,Akagawa Jirou - Yasoukyoku (Japan),,,SLPS-91151
Redump,Akagawa Jirou - Yasoukyoku (Japan),Akagawa Jiro - Yasoukyoku,,SLPS-91503
Redump,Akagawa Jirou - Yasoukyoku (Japan) (Shokai Genteiban),Akagawa Jiro - Yasoukyoku (Shokai Genteiban),,SLPS-01415
Redump,Akagawa Jirou - Yasoukyoku 2 (Japan),Akagawa Jiro - Yasoukyoku 2,,SLPS-03213
Redump,Akazu no Ma (Japan),Akazu no Ma,あかずの間,SLPS-00619
Redump,"Akuji the Heartless (Europe) (En,Fr,De)",Akuji the Heartless,,SLES-01298
Redump,Akuji the Heartless (USA),Akuji the Heartless,,SLUS-00715
Redump,Akumajou Dracula X - Gekka no Yasoukyoku (Japan),Akumajou Dracula X - Gekka no Yasoukyoku,悪魔城ドラキュラＸ　～月下の夜想曲～,SLPM-86023
Redump,Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (Rev 1),Akumajou Dracula X - Gekka no Yasoukyoku,悪魔城ドラキュラＸ　～月下の夜想曲～,SLPM-86023
Redump,Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (Rev 2),Akumajou Dracula X - Gekka no Yasoukyoku,悪魔城ドラキュラＸ　～月下の夜想曲～,SLPM-86073
Redump,Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (Rev 2),,,SLPM-87328
Redump,Albaria no Otome - Uruwashi no Seikishitachi (Japan),Albaria no Otome - Uruwashi no Seikishitachi,アルバレアの乙女　～麗しの聖騎士たち～,SLPS-01578
Redump,Alex Ferguson's Player Manager 2001 (Europe),Alex Ferguson's Player Manager 2001,,SLES-03150
Redump,Alex Ferguson's Player Manager 2002 (Europe),Alex Ferguson's Player Manager 2002,,SLES-03775
Redump,Alexandra Ledermann 2 - Equitation Competition (France),Alexandra Ledermann 2 - Equitation Competition,,SLES-03290
Redump,"Alexi Lalas International Soccer (USA) (En,Fr,De,Es,It)",Alexi Lalas International Soccer,,SLUS-00872
Redump,Alfred Chicken (Europe) (Beta) (2001-12-03),Alfred Chicken (Proto),,SLES-12345
Redump,Alfred Chicken (Europe) (Beta) (2002-02-07),Alfred Chicken,,SCES-03817
Redump,"Alfred Chicken (Europe) (En,Fr,De,Es,It)",Alfred Chicken,,SCES-03817
Redump,Alice in Cyberland (Japan),Alice in Cyberland,ありす　イン　サイバーランド,SLPS-00636
Redump,"Alien Resurrection (Europe) (En,Fr,De,Es,It)",Alien Resurrection,,SLES-02913
Redump,Alien Resurrection (USA),Alien Resurrection,,SLUS-00633
Redump,"Alien Trilogy (Europe) (En,Fr,Es,It)",Alien Trilogy,,SLES-00101
Redump,Alien Trilogy (France) (Demo),Alien Trilogy (Demo),,SLES-00288
Redump,Alien Trilogy (Germany),Alien Trilogy,,SLES-00246
Redump,Alien Trilogy (Japan),Alien Trilogy,エイリアン・トリロジー,SLPS-00332
Redump,Alien Trilogy (USA),Alien Trilogy,,SLUS-00007
Redump,Alive (Japan) (Disc 1),Alive (Disc 1),アライブ (DISC 1),SLPS-01527
Redump,Alive (Japan) (Disc 2),Alive (Disc 2),アライブ (DISC 2),SLPS-01528
Redump,Alive (Japan) (Disc 3),Alive (Disc 3),アライブ (DISC 3),SLPS-01529
