Title ,ROM,Year,Manufacturer,MAME Set,
CIT-101e Keyboard,cit101e_kbd,,,Merged,
CIT-101e Video Terminal,cit101e,1983,C. Itoh Electronics,Merged,
CIT-101XL Video Display Terminal,cit101xl,1987,CIE Terminals,Merged,
CIT-220+ Keyboard,cit220p_kbd,,,Merged,
CIT-220+ Video Terminal,cit220p,1984,C. Itoh Electronics,Merged,
City Bomber (World),citybomb,1987,Konami,Merged,
City Connection (set 1),citycon,1985,Jaleco,Merged,
City Love (Japan 860908),citylove,1986,Nichibutsu,Merged,
City Patrolman,cpatrolm,200?,TimeTop,Merged,
City Slicker,cityslck,1987,Bally,Merged,
Ckidzo,ckidzo,1976,Meadows,Merged,
CKZ-80,ckz80,198?,<unknown>,Merged,
Clares Armadeus Sampler Board,arc_armadeus,,,Merged,
Clash-Road,clshroad,1986,Woodplace Inc.,Merged,
Class of 1812,clas1812,1991,Gottlieb,Merged,
Classic (Dutch) (Bellfruit) (Scorpion 1),sc1class,198?,BFM/ELAM,Merged,
Classic 7s (Mazooma) (Scorpion 4) (set 1),sc4cla7,200?,Mazooma,Merged,
"Classic Adders & Ladders (Barcrest) (MPU4) (A6L 0.1, set 1)",m4addr,1991,Barcrest,Merged,
Classic Arcade Pinball (JAKKS Pacific TV Game),jak_capb,2004,JAKKS Pacific Inc / HotGen Ltd,Merged,
Classic Bar 7 (Mazooma) (Scorpion 5) (set 1),sc5cbar7,200?,Mazooma,Merged,
Classic Edition (Version 1.6E),classice,2004,Amcoe,Merged,
Classic Max Pocket Mx-10 - 12 in 1 (vertical),cmpmx10,2007,Jungle Soft,Merged,
"Classic Max Pocket PCMX11 - 12 in 1 Colour Games Console (horizontal, France)",cmpmx11,2007,Jungle Soft (Premier Portfolio International license),Merged,
Clay Pigeon (version 2.0),claypign,1986,Exidy,Merged,
Clay Shoot,clayshoo,1979,Allied Leisure,Merged,
Claybuster,claybust,1978,Model Racing,Merged,
Clean Sweep,cleanswp,1974,Ramtek,Merged,
Cleopatra,cleoptra,1977,Gottlieb,Merged,
Cleopatra Fortune (Ver 2.1J 1996/09/05),cleopatr,1996,Taito Corporation,Merged,
Cleopatra Fortune Plus (GDL-0012),cleoftp,2002,Altron / Taito,Merged,
Clever Cogs (Qps) (Scorpion 4),sc4ccogs,200?,Qps,Merged,
Clickity Click (Barcrest) (MPU4 w/ Plasma DMD),m4click,199?,Barcrest,Merged,
ClickStart,clikstrt,2007,LeapFrog Enterprises,Merged,
Clie PEG-T650C,t650c,2002,Sony,Merged,
Cliff Hanger (set 1),cliffhgr,1983,Stern Electronics,Merged,
Cliffhanger (Vivid) (MPU5),m5clifhn,199?,Vivid,Merged,
Cloak & Dagger (rev 5),cloak,1983,Atari,Merged,
"Clockwise (1VXEC534, New Zealand)",clkwise,1986,Ainsworth Nominees P.L.,Merged,
Clockwise (Bellfruit) (Scorpion 1),sc1cwcl,198?,BFM,Merged,
Clockwork Oranges (Empire) (MPU5) (set 1),m5cworan,199?,Empire,Merged,
Close Encounters of the Third Kind,closeenc,1978,Gottlieb,Merged,
Cloud 9 (prototype),cloud9,1983,Atari,Merged,
Cloud 999 (Barcrest) (MPU4) (CLN 4.0 V),m4c999,199?,Barcrest,Merged,
Cloud Nine (Barcrest) (MPU4) (C92 1.1),m4c9,199?,Barcrest,Merged,
Cloud Nine Club (Barcrest) (MPU4) (CNC 2.1),m4c9c,199?,Barcrest,Merged,
Clown,clown,1985,Zaccaria,Merged,
Clown (Inder),pinclown,1988,Inder,Merged,
Clown (Russia) (Atronic),aclown,2002,Atronic,Merged,
Clown Around (Bellfruit) (Scorpion 4) (set 1),sc4clown,200?,BFM,Merged,
Clown Around (Bellfruit) (Scorpion 5) (set 1),sc5clown,200?,BFM,Merged,
Clown Around (Dutch) (Bellfruit) (Scorpion 1),sc1clown,198?,BFM/ELAM,Merged,
Clown In Around (Bwb) (MPU5) (set 1),m5clown,199?,Bwb,Merged,
Clown Roll Down (Elwood),clowndwn,1987,Elwood Electronics,Merged,
Clowns (rev. 2),clowns,1978,Midway,Merged,
Club 2000 (Dutch) (Bellfruit) (Scorpion 1),sc1cl2k,198?,BFM/ELAM,Merged,
Club 2001 (Dutch (Bellfruit) (Scorpion 1),sc1cl2k1,198?,BFM/ELAM,Merged,
Club 3000 (Dutch) (Bellfruit) (Scorpion 1),sc1clb3,199?,BFM/ELAM,Merged,
Club 65 Special (Bellfruit) (set 1) (Scorpion 1),sc1cl65,198?,BFM,Merged,
Club 77 (Unk) (MPS),j2club77,198?,<unknown>,Merged,
"Club Attraction (UK, Game Card 39-370-196)",sc1clatt,1990,BFM,Merged,
Club Bingo (Crystal) (MPS),j2clbbin,198?,Crystal?,Merged,
Club Card (ver. 1.1 English),clubcard,199?,Impera / Mega Tech,Merged,
Club Cash Ahoy (Scorpion 5),sc5_3530,200?,BFM,Merged,
Club Class (Bellfruit) (Scorpion 4) (set 1),sc4cclas,200?,BFM,Merged,
Club Classic (Barcrest) (MPU4) (CI  1.1),m4clbcls,199?,Barcrest,Merged,
"Club Climber (Barcrest) (MPU4, C1C 3.3)",m4clbclm,199?,Barcrest,Merged,
Club Clouseau (QPS) (Scorpion 4),sc4clclo,200?,QPS,Merged,
Club Connect (Barcrest) (MPU4) (CON 1.2),m4clbcnt,199?,Barcrest,Merged,
Club Diamond (Crystal) (set 1) (Scorpion 1),sc1cdm,199?,Crystal,Merged,
Club Diamond (Dutch) (Bellfruit) (Scorpion 1),sc1clbdm,198?,BFM/ELAM,Merged,
Club DOND Red Mist (Scorpion 5),sc5_3508,200?,BFM,Merged,
Club Double (Barcrest) (MPU4) (CD 1.6),m4clbdbl,199?,Barcrest,Merged,
Club Dynamite (Global) (set 1),sc1clbdy,199?,Global,Merged,
Club Explosion (Bellfruit) (Scorpion 1) (set 1),sc1clbxp,198?,BFM,Merged,
Club Fever (Maygay) v1.1 (M1A/B),m1clbfvr,199?,Maygay,Merged,
Club Grand Casino (Bellfruit) (set 1) (Scorpion 2/3),sc2cgcas,199?,BFM,Merged,
"Club Grand Slam (UK, set 2) (Scorpion 2/3)",sc2gslam,1996,BFM,Merged,
Club Greed (Global) (EPOCH) (set 1),ep_cgred,199?,Global,Merged,
Club Jenna Presents: Jenna Jameson's Strip Poker,jjstrip,200?,Shiggles Inc.,Merged,
Club Kart for Cycraft (Rev A) (GDS-0029A),clubkcyc,2003,Sega,Merged,
"Club Kart Prize (Export, Japan, Rev A)",clubkprz,2003,Sega,Merged,
"Club Kart Prize Version B (Export, Japan)",clubkpzb,2004,Sega,Merged,
"Club Kart: European Session (2003, Rev A)",clubk2k3,2003,Sega,Merged,
Club Kart: European Session (Rev D),clubkrt,2001,Sega,Merged,
Club Magic (JPM),j7clbmag,200?,Qps,Merged,
Club Money (Ace) (ACESYS1) (set 1),ac1clbmn,199?,Ace,Merged,
Club Moneybags (Bellfruit) (Scorpion 4) (set 1),sc4clbmn,200?,BFM,Merged,
Club National (Ace) (sp.ACE) (set 1),sp_clbna,199?,Ace,Merged,
"Club Nudger (JPM) (SYSTEM5-SAA, set 1)",j5clbnud,199?,JPM,Merged,
Club Premier (System 85),b85clbpm,1989,BFM,Merged,
"Club Public Enemy No.1 (set 5, UK) (Scorpion 2/3)",sc2cpe,1996,BFM,Merged,
Club Replay (PCP) (MPU4) (01),m4clbrpl,199?,Pcp,Merged,
Club Runner (Dutch) (unknown) (Scorpion 1),sc1clbrn,198?,<unknown>,Merged,
Club Sandwich (Bwb) (MPU5) (set 1),m5clubsn,199?,Bwb,Merged,
Club Shuffle (Barcrest) (MPU4) (CSS 1.0),m4clbshf,199?,Barcrest,Merged,
Club Sovereign (Ace) (ACESYS1),ac1clbsv,199?,Ace,Merged,
Club Spinner (Dutch) (unknown) (Scorpion 1),sc1clbsp,198?,<unknown>,Merged,
Club Temptation (Bellfruit) (Scorpion 4) (set 1),sc4clbtm,200?,BFM,Merged,
Club Temptation (Bellfruit) (set 1) (Scorpion 1),sc1clbtm,198?,BFM,Merged,
Club Tropicana (Empire) (MPU5) (set 1),m5clbtro,199?,Empire,Merged,
Club Ultraman - Daichi Boeisen,dnjsenso,1992,Banpresto,Merged,
"Club Vegas (Barcrest) (MPU4) (CLA 2.4, set 1)",m4clbveg,199?,Barcrest,Merged,
Club Wise (Bellfruit) (set 2) (Scorpion 1),sc1clbw,198?,BFM,Merged,
"Club X (Barcrest) (MPU4) (CLX 1.2, set 1)",m4clbx,199?,Barcrest,Merged,
Club Xtra (Ace) (ACESYS1) (set 1),ac1clbxt,199?,Ace,Merged,
Cluedo (Maygay) v6.1 (M1A/B),m1cluedo,1995,Maygay,Merged,
Cluedo (Mazooma) (Scorpion 4) (set 1),sc4clue,200?,Mazooma,Merged,
Cluedo (Mazooma) (Scorpion 5) (set 1),sc5clue,200?,Mazooma,Merged,
Cluedo (prod. 2D),cluedo,1995,JPM,Merged,
Cluedo 70 (Qps) (Scorpion 5) (set 1),sc5clu70,200?,Qps,Merged,
Cluedo Casino (Mazooma) (Scorpion 5) (set 1),sc5clcas,200?,Mazooma,Merged,
Cluedo Club (JPM) (IMPACT) (set 1),j6cluclb,199?,JPM,Merged,
Cluedo Club (Maygay) v3.1 (M1A/B),m1cluecb,1993,Maygay,Merged,
Cluedo Club (Mazooma) (Scorpion 4) (set 1),sc4clucl,200?,Mazooma,Merged,
Cluedo Notorious (Bellfruit) (Scorpion 5) (set 1),sc5clnot,200?,BFM,Merged,
Cluedo Prime Suspect (Scorpion 5),sc5_3524,200?,BFM,Merged,
Cluedo Super Sleuth (Maygay) v2.3 (M1A/B),m1cluess,1996,Maygay,Merged,
Cluedo The Usual Suspects (Mazooma) (Scorpion 5) (set 1),sc5clus,200?,Mazooma,Merged,
Cluster Buster (DECO Cassette) (US),cgraplop,1983,Data East Corporation,Merged,
Clutch Hitter (US) (FD1094 317-0176),cltchitr,1991,Sega,Merged,
CM-1800,cm1800,1981,<unknown>,Merged,
CM-32L,cm32l,1989,Roland,Merged,
CM-32P,cm32p,1989,Roland,Merged,
CMC ENP-10,enp10,,,Merged,
CMD HD,cmdhd,,,Merged,
CMI IIx,cmi2x,1983,Fairlight,Merged,
CMS 40/80 Video Terminal Card,cms_4080term,,,Merged,
CMS 6502 2nd Processor,bbc_cms6502,,,Merged,
CMS 6502 Development System,cms6502,1986,Cambridge Microprocessor Systems,Merged,
CMS 6809 2nd Processor,bbc_tube_cms6809,,,Merged,
CMS SCSI II Card,cmsscsi,,,Merged,
Cobra,cobrap,1987,Nuova Bell Games,Merged,
Cobra (Playbar),cobrapb,1987,Playbar,Merged,
"Cobra Command (Data East LD, set 1)",cobra,1984,Data East,Merged,
Cobra Gunship,cgunship,1976,Meadows,Merged,
Cobra Sport Dart / Tour Sport Dart (Oki MSM6376 sound),cobrasd,1998,TourVisión,Merged,
Cobra-Command (World/US revision 5),cobracom,1988,Data East Corporation,Merged,
Cobra: The Arcade (CBR1 Ver. B),cobrata,2005,Namco,Merged,
Coche Bully,cbully,1991,Falgas,Merged,
Cock A Doodle Dosh (Maygay - Union) (EPOCH) (set 1),ep_cock,199?,Maygay,Merged,
Cock A Doodle Dough! (Empire) (MPU5) (set 1),m5cockdd,199?,Empire,Merged,
CoCo Deluxe RS-232 PAK,coco_rs232,,,Merged,
CoCo Direct Connect Modem PAK,coco_dcmodem,,,Merged,
CoCo Floppy Disk Controller,coco_fdc,,,Merged,
Coco Loco (set 1),cocoloco,1981,Petaco S.A.,Merged,
CoCo Orch-90 PAK,coco_orch90,,,Merged,
CoCo PSG,coco_psg,,,Merged,
CoCo S/SC PAK,coco_ssc,,,Merged,
CoCo WordPak,coco_wpk,,,Merged,
CoCo WordPak II,coco_wpk2,,,Merged,
CoCo WordPak RS,coco_wpkrs,,,Merged,
Codata,codata,1982,Contel Codata Corporation,Merged,
Code Lyoko (25-in-1 handheld),cdlyoko,2011,Ingo Devices SL / Senca,Merged,
Code Magik (Ver 5.5) / Super 7 (stealth game),codemagik,198?,Voyageur de L'Espace Inc.,Merged,
Code Name: Sector,cnsector,1977,Parker Brothers,Merged,
Code One Dispatch Ver 1.21 (ver UAD),code1d,2000,Konami,Merged,
Code Red (Ace) (sp.ACE) (set 1),sp_coder,199?,Ace,Merged,
Code Red Club (Maygay) v2.1 (M1A/B),m1coderd,199?,Maygay,Merged,
Codename: Kids Next Door - Operation: P.L.U.G.G.U.H.S.,knd,2005,Tech2Go / One Man Band,Merged,
Codimex CD-6809 Disk BASIC (1986),cd6809_fdc,,,Merged,
Coin Count (JPM) (MPS),j2coinct,198?,JPM,Merged,
Coin Shoot (Bwb) (MPS),j2coinsh,198?,Bwb,Merged,
"Coinmaster Keno (Y2K, Spanish, 2000-12-14)",cmkenosp,2000,"Coinmaster-Gaming, Ltd.",Merged,
"Coinmaster Roulette P497 V75 (Y2K, Spanish)",cmrltv75,2001,"Coinmaster-Gaming, Ltd.",Merged,
ColecoVision (NTSC),coleco,1982,Coleco,Merged,
Colecovision Flashback,colecofl,2004,AtGames,Merged,
Colex VME-80186,clxvme186,1983,Colex,Merged,
Coliseum (Crystal) (IMPACT) (set 1),j6colic,199?,Crystal,Merged,
Coliseum (Mdm) (IMPACT) (set 1),j6col,199?,Mdm,Merged,
Coliseum Cash (JPM) (IMPACT) (set 1),j6colcsh,199?,JPM,Merged,
Colony 7 (set 1),colony7,1981,Taito,Merged,
Color Computer 1/2,coco,1980,Tandy Radio Shack,Merged,
Color Digital Diary (CSF-5550),csf5550,1996?,Casio,Merged,
Color Football 4 (Entex),efootb4,1980,Entex,Merged,
Color LCD Classic Game 200-in-1,class200,201?,<unknown>,Merged,
Color Match,clrmatch,200?,Nova Desitec,Merged,
Color Picky Talk - Super Denshi Techou,jd364,1995,Casio,Merged,
"Colorama (P521, English)",colorama,2000,"Coinmaster-Gaming, Ltd.",Merged,
Colossus (Dutch) (Bellfruit) (Scorpion 4),sc4colos,200?,BFM,Merged,
"Colossus (Mdm) (MPU4, set 1)",m4coloss,199?,Mdm,Merged,
Colossus Club (Empire) (MPU5),m5coloss,199?,Empire,Merged,
Colour Genie EG2000,cgenie,1982,EACA,Merged,
Colour Genie FDC,cgenie_fdc,,,Merged,
Colour Mania (Bellfruit) (Scorpion 4) (set 1),sc4cmani,200?,BFM,Merged,
Colour Mania (Bellfruit) (Scorpion 5) (set 1),sc5cmani,200?,BFM,Merged,
"Colour Of Money (Astra, V200)",as_colmn,200?,Astra,Merged,
Colour Of Money (Bellfruit) (Scorpion 5) (set 1),sc5colmo,200?,BFM,Merged,
"Colour Of Money (JPM) (IMPACT) (set 1, Whitbread)",j6colmon,199?,JPM,Merged,
Columbia,columbia,1982,LTD,Merged,
Columbus (set 1),columbus,2002?,Novotech,Merged,
Columns '97 (JET 961209 V1.000),colmns97,1996,Sega,Merged,
Columns (Mega-Tech),mt_cols,1990,Sega,Merged,
Columns (World),columns,1990,Sega,Merged,
Columns II: The Voyage Through Time (World),columns2,1990,Sega,Merged,
Columns III (Mega Play),mp_col3,1993,Sega,Merged,
Combat (version 3.0),combat,1985,Exidy,Merged,
Combat Hawk,combh,1987,Sanritsu / Sega,Merged,
Combat School (joystick),combatsc,1988,Konami,Merged,
Come Back,comeback,198?,Nondum / CIFA,Merged,
Come Back Toto,toto,1996,SoftClub,Merged,
Come On Baby,comebaby,2000,ExPotato,Merged,
Comet (L-5),comet_l5,1985,Williams,Merged,
"Comet Catcher (Leisure Games) (MPU2) (5p Stake, £1 Jackpot)",m2comet,1981?,Leisure Games,Merged,
Comet-san Lovelin Baton (Japan),tak_comt,2001,Takara / SSD Company LTD,Merged,
"Command War - Super Special Battle & War Game (Ver 0.0J, prototype)",commandw,1992,Taito Corporation,Merged,
Commander C-II Disk Drive,cmdrc2,,,Merged,
Commando (Sega),commsega,1983,Sega,Merged,
Commando (World),commando,1985,Capcom,Merged,
Commodore 128 (NTSC),c128,1985,Commodore Business Machines,Merged,
Commodore 128 (PAL),c128p,1985,Commodore Business Machines,Merged,
Commodore 1526/MPS-802 Dot Matrix Printer,c1526,,,Merged,
Commodore 1540 Disk Drive,c1540,,,Merged,
Commodore 1541 Disk Drive,c1541,,,Merged,
Commodore 1541 Dolphin-DOS 2.0 Disk Drive,c1541dd,,,Merged,
Commodore 1541 Professional-DOS v1 Disk Drive,c1541pd,,,Merged,
Commodore 1541 ProLogic-DOS Classic Disk Drive,c1541pdc,,,Merged,
Commodore 1541-II Disk Drive,c1541ii,,,Merged,
Commodore 1541C Disk Drive,c1541c,,,Merged,
Commodore 1551,c1551,,,Merged,
"Commodore 1563 3.5"" Disk Drive",c1563,,,Merged,
Commodore 1570 Disk Drive,c1570,,,Merged,
Commodore 1571 Disk Drive,c1571,,,Merged,
Commodore 1571CR Disk Drive,c1571cr,,,Merged,
"Commodore 1581 3.5"" Disk Drive",c1581,,,Merged,
Commodore 2031,c2031,,,Merged,
Commodore 2040,c2040,,,Merged,
Commodore 2040 FDC,c2040_fdc,,,Merged,
Commodore 264 (Prototype),c264,1984,Commodore Business Machines,Merged,
Commodore 3040,c3040,,,Merged,
Commodore 4023 Printer,c4023,,,Merged,
Commodore 4040,c4040,,,Merged,
Commodore 64 (NTSC),c64,1982,Commodore Business Machines,Merged,
Commodore 64 Direct-to-TV (Version 2 050711) (PAL),c64dtv,2005,The Toy:Lobster Company,Merged,
"Commodore 65 Development System (Prototype, NTSC)",c65,1991,Commodore Business Machines,Merged,
Commodore 8050,c8050,,,Merged,
Commodore 8050 FDC,c8050fdc,,,Merged,
Commodore 8250,c8250,,,Merged,
Commodore 8250LP,c8250lp,,,Merged,
Commodore 8280,c8280,,,Merged,
Commodore 900,c900,1985,Commodore,Merged,
Commodore A2091 Hard Disk/SCSI Controller,amiga_a2091,,,Merged,
Commodore A570,amiga_a570,,,Merged,
Commodore A590,amiga_a590,,,Merged,
Commodore D9060,d9060,,,Merged,
Commodore D9090,d9090,,,Merged,
Commodore MPS-1200 Dot Matrix Printer,mps1200,,,Merged,
Commodore MPS-1250 Dot Matrix Printer,mps1250,,,Merged,
Commodore SFD-1001,sfd1001,,,Merged,
Commodore SuperPET,pet_superpet,,,Merged,
CoMotion,comotion,1976,Gremlin,Merged,
Comp IV,comp4,1977,Milton Bradley,Merged,
Compact Computer 40,cc40,1983,Texas Instruments,Merged,
Compact Cyber Arcade - 200 in 1 (JL2355),lxcmcy,2013,Lexibook,Merged,
Compact Cyber Arcade - 250 in 1 (JL2377),jl2377,2020,Lexibook,Merged,
Compact Cyber Arcade - 250-in-1 (JL2375),lxcmc250,200?,Lexibook,Merged,
Compact Cyber Arcade - Barbie (JL2365BB),lxcmcyba,2014,Lexibook,Merged,
Compact Cyber Arcade - Batman (JL2367BAT),lxcmcybt,2020,Lexibook,Merged,
"Compact Cyber Arcade - Cars (JL2360DC-1, 120-in-1)",lxcmcyco,2014,Lexibook,Merged,
Compact Cyber Arcade - Cars (JL2365DC),lxcmcycr,2014,Lexibook,Merged,
Compact Cyber Arcade - Disney Princess (120-in-1),lxcmcydp,2012,Lexibook,Merged,
"Compact Cyber Arcade - Disney Princess (JL2367DP, 150-in-1)",lxcmcydpn,2014,Lexibook,Merged,
Compact Cyber Arcade - Finding Dory,lxcmcyfd,2014,Lexibook,Merged,
Compact Cyber Arcade - Frozen (JL2365FZ),lxcmcyfz,200?,Lexibook,Merged,
Compact Cyber Arcade - Lilo & Stitch (JL2367D),lxcmcyls,2021,Lexibook,Merged,
Compact Cyber Arcade - Paw Patrol (JL2367PA),lxcmcypp,2018,Lexibook,Merged,
Compact Cyber Arcade - PJ Masks (JL2365PJM),lxcmcypj,2018,Lexibook,Merged,
Compact Cyber Arcade - Spider-Man (120-in-1),lxcmcysp,2012,Lexibook,Merged,
"Compact Cyber Arcade - Spider-Man (JL2367SP, 150-in-1)",lxcmcyspn,2014,Lexibook,Merged,
Compact Cyber Arcade - Star Wars Rebels (JL2365SW),lxcmcysw,200?,Lexibook,Merged,
Compact Cyber Arcade TV - 120 in 1 (JL2370),lxccatv,2012,Lexibook,Merged,
Compass 1101,grid1101,1982,GRiD Computers,Merged,
Compass II 1121,grid1121,1984,GRiD Computers,Merged,
"Competition Golf Final Round (World?, revision 3)",compgolf,1986,Data East Corporation,Merged,
Compis,compis,1985,Telenova,Merged,
Compis Keyboard,compiskb,,,Merged,
CompJU+TEr,jtc,1987,Jugend+Technik,Merged,
"Complete Madness (Maygay) (EPOCH) (2.2, set 1)",ep_commd,199?,Maygay,Merged,
Complex X,complexx,1984,Taito America Corporation,Merged,
CompuChess,cmpchess,1977,DataCash Systems / Staid,Merged,
CompuChess: The Second Edition,cmpchess2,1978,DataCash Systems / Staid,Merged,
Compucolor II,compclr2,1977,Intelligent Systems Corporation,Merged,
Computachess II,cpchess2,1982,White and Allcock / CXG Systems / Intelligent Software,Merged,
Computech Integra-?,bbc_integrab,,,Merged,
"Computer Chess (Conic, model 7011)",cncchess,1979,Conic,Merged,
"Computer Chess (Conic, model 7012)",cncchess2,1980,Conic,Merged,
"Computer Chess (Conic, model 7013)",cncchess3,1981,Conic,Merged,
Computer Chess (Mattel),mchess,1980,Mattel Electronics / Teletape Productions,Merged,
Computer Concepts FaxPack Modem,arc_faxpack,,,Merged,
Computer Concepts GreyHawk Video Digitiser,arc_greyhawk,,,Merged,
Computer Concepts LaserDirect (Canon LBP-4),arc_lbp4,,,Merged,
Computer Concepts ScanLight,arc_scanlight,,,Merged,
Computer Concepts ScanLight Junior,arc_scanjunior,,,Merged,
Computer Concepts ScanLight Junior MkIII,arc_scanjunior3,,,Merged,
Computer Concepts ScanLight Video 256,arc_scanvideo,,,Merged,
Computer Gin,mcompgin,1979,Mattel Electronics,Merged,
Computer Mah-jong Yakuman,compmahj,1983,Nintendo,Merged,
Computer Othello,cothello,1978,Nintendo,Merged,
Computer Perfection,compperf,1979,Lakeside,Merged,
Computer Quiz Atama no Taisou (Japan),atamanot,1983,Yachiyo Denki / Uni Enterprise,Merged,
Computer Village 1797 FDC,bbc_cv1797,,,Merged,
"Computerized Arcade (TMS1100 version, model 60-2159)",comparc,1981,Tandy Corporation,Merged,
Computerware Hard Disk Podule,arc_hdisc_cw,,,Merged,
ComQuest Plus (German),comquest,1995,Data Concepts,Merged,
COMX 35 (PAL),comx35p,1983,Comx World Operations Ltd,Merged,
COMX 80 Column Card,comx_clm,,,Merged,
COMX FD,comx_fd,,,Merged,
COMX PL-80,comx_pl80,,,Merged,
COMX-35 F&M EPROM Switchboard,comx_epr,,,Merged,
COMX-35 Printer Card,comx_prn,,,Merged,
COMX-35 Thermal Printer Card,comx_thm,,,Merged,
COMX-35E Expansion Box,comx_eb,,,Merged,
Concept,concept,1982,Corvus Systems,Merged,
"Conchess (standard, set 1)",conc,1982,Consumenta Computer / Loproc,Merged,
Conchess Plymate Amsterdam,concams,1985,Systemhuset / Loproc,Merged,
Conchess Plymate Glasgow Plus (set 1),concglap,1984,Systemhuset / Loproc,Merged,
Conchess Plymate Victoria (prototype),concvicp,1990,Systemhuset / Loproc,Merged,
Conchess Princhess Glasgow,concgla,1984,Systemhuset / Loproc,Merged,
Coney Island (Qps) (MPU4),m4coney,199?,Qps,Merged,
Confidential Mission (GDS-0001),confmiss,2000,Sega,Merged,
Congo (2.1),congo_21,1995,Williams,Merged,
"Congo Bongo (Rev C, 2 board stack)",congo,1983,Sega,Merged,
Conitec Datensysteme GRIP-2.1,ecb_grip21,,,Merged,
Connect 4,m4conn4,1989?,Dolbeck Systems,Merged,
Connect 4 (Vivid) (MPU5) (set 1),m5cnct4,199?,Vivid,Merged,
Connectv Cricket (PAL),rad_crik,2006,Radica,Merged,
Connectv Football,rad_foot,2006,Radica / Medialink,Merged,
Conner CFP1080S,cfp1080s,,,Merged,
Conner Peripherals CP-2024 hard disk,cp2024,,,Merged,
Conqueror,conquer,198?,<unknown>,Merged,
Conquest (prototype),conquest,1982,Williams / Vid Kidz,Merged,
Consola EMT,consoemt,2003,Indra / Amper,Merged,
Console Colour - Disney's Planes (JL2800PL),lxccplan,200?,Lexibook,Merged,
Console Colour - Minnie Mouse (JL2800MN),lxccminn,200?,Lexibook,Merged,
Constellation,const,1983,Novag Industries / Intelligent Heuristic Programming,Merged,
Constellation Expert,cexpert,1985,Novag Industries / Intelligent Heuristic Programming,Merged,
Constellation Forte (version A),cfortea,1986,Novag Industries / Intelligent Heuristic Programming,Merged,
Constellation Junior,constjr,1985,Novag Industries / Intelligent Heuristic Programming,Merged,
Contact (L-1),cntct_l1,1978,Williams,Merged,
Continental (Bingo),cntinntl,1980,Bally,Merged,
Continental 3 in 1 (Bingo),cntine31,19??,Seeben (Belgium),Merged,
Continental Circus (World),contcirc,1987,Taito Corporation Japan,Merged,
Continuous Nudger (Mdm) (MPS),j2contnd,198?,Mdm,Merged,
Contra (Conny bootleg of Mega Drive version),contrambc,1995,bootleg / Konami,Merged,
Contra (handheld),kcontra,1989,Konami,Merged,
Contra (PlayChoice-10),pc_cntra,1988,Konami (Nintendo of America license),Merged,
"Contra (US / Asia, set 1)",contra,1987,Konami,Merged,
Contra 3: The Alien Wars (Nintendo Super System),nss_con3,1992,Konami,Merged,
Cookie & Bibi (set 1),cookbib,1995,SemiCom,Merged,
"Cookie & Bibi 2 (English, set 1)",cookbib2,1996,SemiCom,Merged,
Cookie & Bibi 3,cookbib3,1997,SemiCom,Merged,
Cool 104,cool104,1997,Sigma,Merged,
Cool Boarders Arcade Jam (Export),cbaj,1998,UEP Systems,Merged,
Cool Jewels (Bellfruit) (Scorpion 4) (set 1),sc4cj,200?,BFM,Merged,
Cool Jewels (Bellfruit) (Scorpion 5) (set 1),sc5cj,200?,BFM,Merged,
Cool Jewels Club (Bellfruit) (Scorpion 4) (set 1),sc4cjcl,200?,BFM,Merged,
Cool Million (Project) (set 1) (PROCONN),pr_coolm,199?,Project,Merged,
Cool Minigame Collection,coolmini,1999,SemiCom,Merged,
Cool Pool,coolpool,1992,Catalina,Merged,
Cool Riders,coolridr,1995,Sega,Merged,
Coolboy RS-17 - 203 in 1,mc_cb203,201?,Coolboy,Merged,
Coolboy RS-18 (280 in 1),mc_cb280,201?,CoolBoy,Merged,
CoolBoy RS-8 168 in 1,cbrs8,201?,CoolBoy,Merged,
Cop 01 (set 1),cop01,1985,Nichibutsu,Merged,
Cop The Lot (Bellfruit) (Scorpion 4) (set 1),sc4ctl,200?,BFM,Merged,
Cop The Lot (Bellfruit) (Scorpion 5) (set 1),sc5ctl,200?,BFM,Merged,
Cop The Lot Club (Bellfruit) (Scorpion 4) (set 1),sc4ctlcl,200?,BFM,Merged,
Cop The Lot Club (Video) (Bellfruit) (Adder 4) (set 1),ad4ctl,200?,BFM,Merged,
Coppa Cash (MPU4) (FC 2.0),m4copcsh,199?,bootleg,Merged,
Copper Pot (JPM) (MPS),j2coppot,198?,JPM,Merged,
Copper Run (JPM) (MPS),j2coprun,198?,JPM,Merged,
Copper Run Deluxe (JPM) (MPS),j2cprndx,198?,JPM,Merged,
Cops 'n' Robbers (Bellfruit) (Scorpion 4) (set 1),sc4copsr,200?,BFM,Merged,
Cops 'n' Robbers (Bellfruit) (Scorpion 5) (set 1),sc5copsr,200?,BFM,Merged,
Cops 'n' Robbers (Bellfruit) (set 1) (Scorpion 1),sc1cops,198?,BFM,Merged,
Cops 'n' Robbers (Bellfruit) (set 6) (Scorpion 2/3),sc2cops,199?,BFM,Merged,
Cops 'n' Robbers (Dutch) (Bellfruit) (System 85),b85cops,199?,BFM/ELAM,Merged,
Cops 'n' Robbers (PR2476) (Mazooma) (Adder 5) (set 1),ad5crsc,200?,Mazooma,Merged,
Cops 'n' Robbers (PR3206) (Bellfruit) (Adder 5) (set 1),ad5copsr,200?,BFM,Merged,
