Title ,ROM,Year,Manufacturer,MAME Set,
301/Bullseye (301 Darts Scoring),bullseye,1986,Grand Products,Merged,
30H,so30h,199?,SOYO,Merged,
30R: Slide Rule Memory (B5500 version),rw30r,1974,Rockwell,Merged,
320,digilog320,1988,Digilog,Merged,
35 in 1 Super Twins,silv35,200?,SilverLit / JungleTac,Merged,
36-in-1 Classic Games phone case,36pcase,202?,<unknown>,Merged,
3670,s3670,1984,Symbolics,Merged,
3733 (digital scale),sart3733,1978?,Sartorius-Werke GmbH,Merged,
39 in 1 MAME bootleg (GNO-V000),39in1,2004,bootleg,Merged,
3B2/300,3b2_300,1984,AT&T,Merged,
3B2/600,3b2_600,1987,AT&T,Merged,
3Com EtherLink Plus,3c505,,,Merged,
3Dlabs Permedia 2,permedia2,,,Merged,
3DO BIOS,3dobios,1993,The 3DO Company,Merged,
3DO FZ-1 R.E.A.L. Interactive Multiplayer (USA),3do_fz1,1993,Panasonic,Merged,
3DO FZ-10 R.E.A.L. Interactive Multiplayer (USA),3do_fz10,1994,Panasonic,Merged,
3DO GDO-101M Interactive Multiplayer (USA?),3do_gdo101,1994,Goldstar,Merged,
3DO IMP-21J TRY Interactive Multiplayer (Japan),3do_try,1995,Sanyo,Merged,
3X3 Puzzle (Enterprise),3x3puzzl,1998,Ace Enterprise,Merged,
4 En Raya (set 1),4enraya,1990,IDSA,Merged,
4 Fun in 1,4in1,1981,Armenia / Food and Fun,Merged,
4 in 1 Electronic Games (VTech),v4in1eg,1979,VTech,Merged,
4 Play (Dutch) (Bellfruit) (Scorpion 4),sc4ivply,200?,BFM,Merged,
4 Player System - 10 in 1,abl4play,200?,Advance Bright Ltd,Merged,
4-D Warriors (315-5162),4dwarrio,1985,Coreland / Sega,Merged,
4-in-1 (version SWS1-052587),sms4in1,1984,SMS Manufacturing Corp.,Merged,
40 Bonus Games in 1 (AtGames),atgame40,2012,AtGames,Merged,
400,digilog400,1987,Digilog,Merged,
4000/260,4000_260,1995,ADDS,Merged,
4004 Nixie Clock,4004clk,2008,John L. Weinrich,Merged,
4132,tek4132,1984,Tektronix,Merged,
416 XL (Yeno),y416xl,1989,Yeno,Merged,
4319 Graphics Workstation,tek4319,1988,Tektronix,Merged,
4404 Artificial Intelligence System,tek4404,1984,Tektronix,Merged,
4431,f4431,1981,Facit,Merged,
4440 Twist (30M-F1),facit4440,1984,Facit,Merged,
486 motherboards using the SiS 85C496/85C497 chipset + 3dfx Voodoo 1,sis85c496,199?,Hack Inc.,Merged,
486FT55,ft486f55,1995,Freetech,Merged,
486SPM,ch486spm,199?,Chaintech,Merged,
4D/410,4d410,1991,Silicon Graphics Inc,Merged,
4nin-uchi Mahjong Jantotsu,jantotsu,1983,Sanritsu,Merged,
4SPI,ch4spi,199?,Chaintech,Merged,
4x4,fourx4,1982,Atari,Merged,
"5 Dragons (20161011, NSW/ACT)",5drag,2004,Aristocrat,Merged,
"5 Koi - Power Pay (10250711, NSW/ACT)",5koi,2007,Aristocrat,Merged,
5-Aces Poker,5acespkr,198?,<unknown>,Merged,
"50 Lions - Roaring Riches (20301311, NSW/ACT)",50lionrr,2012,Aristocrat,Merged,
"50 Lions (10120511, NSW/ACT)",50lions,2002,Aristocrat,Merged,
"500 GP (US, 5GP3 Ver. C)",500gp,1998,Namco,Merged,
500-in-1 Handheld Game,500in1hh,202?,<unknown>,Merged,
532 XL (Yeno),y532xl,1989,Yeno,Merged,
5p Nudger (JPM) (MPS),j2nud5p,198?,JPM,Merged,
5th Avenue (JPM) (SYSTEM5-SAA),j5fifth,199?,JPM,Merged,
5th Dimension (Ace) (IMPACT),j6fifth,199?,Ace,Merged,
5x Cash (Project) (PROCONN),pr_5xcsh,199?,Project,Merged,
6-in-1 Sudoku Plug & Play,sudo6in1,200?,Nice Code,Merged,
600 Cellular Activation Tester,600cat,199?,Wavetek,Merged,
610 Business Communication Terminal,att610,1986,AT&T,Merged,
6130,tek6130,1984,Tektronix,Merged,
615 MT,att615,1987,AT&T,Merged,
