Release Type,Name,Title,Foreign Title,Serial
Redump,Confidential Money - 300-Nichi de 3000-Man Dollar Kasegu Houhou (Japan),Confidential Money: 300-Nichi de 3000-Man Dollar Kasegu Houhou,Ｃｏｎｆｉｄｅｎｔｉａｌ　Ｍｏｎｅｙ　～３００日で３０００万ドル稼ぐ方法～,ULJM 06143
Redump,Corpse Party - Blood Covered - Repeated Fear (Japan),Corpse Party: Blood Covered: Repeated Fear,コープスパーティー ブラッドカバー リピーティッドフィアー,ULJM 05704
Redump,"Cover Girl (Europe) (En,Fr,De,Es,It)",Cover Girl,,ULES-01302
Redump,"Crash - Generation Mutant (Europe) (Fr,Nl)",Crash: Génération Mutant,Crash: Mind Over Mutant,ULES-01173
Redump,Crash - Mind over Mutant (Europe),Crash: Mind over Mutant,,ULES-01170
Redump,"Crash - Mind over Mutant (Europe) (De,Ru)",Crash: Mind over Mutant,Крэш Повелитель Мутантов,ULES-01171
Redump,"Crash - Mind over Mutant (Europe) (Es,It)",Crash: Mind over Mutant,Crash ¡Guerra al Coco-Maniaco! / Crash: Il Dominio Sui Mutanti,ULES-01172/E
Redump,Crash - Mind over Mutant (USA) (Beta) (2008-09-07),Crash: Mind over Mutant,,ULUS-10377
Redump,"Crash - Mind over Mutant (USA) (En,Fr)",Crash: Mind over Mutant,,ULUS-10377
Redump,Crash Bandicoot - Gacchanko World (Japan),,,ULJM 05036
Redump,Crash of the Titans (Europe),Crash of the Titans,,ULES-00918
Redump,Crash of the Titans (Europe),Crash of the Titans,,ULES-00918/E
Redump,"Crash of the Titans (Europe) (De,Ru)",Crash of the Titans,Крэш: Битва титанов,ULES-00917
Redump,"Crash of the Titans (Europe) (De,Ru) (Beta) (2007-08-25)",Crash of the Titans,Крэш: Битва титанов,ULES-00917/1.00
Redump,"Crash of the Titans (Europe) (Es,It)",Crash of the Titans,,ULES-00915
Redump,"Crash of the Titans (Europe) (Es,It)",Crash of the Titans,,ULES-00915/E
Redump,"Crash of the Titans (Europe) (Fr,Nl)",Crash of the Titans,,ULES-00916
Redump,Crash of the Titans (USA),Crash of the Titans,,ULUS-10304
Redump,Crash Tag Team Racing (Europe),Crash Tag Team Racing,,ULES-00168
Redump,Crash Tag Team Racing (Europe),Crash Tag Team Racing,,ULES-00168#2
Redump,Crash Tag Team Racing (Europe),Crash Tag Team Racing,,ULES-00168/E
Redump,Crash Tag Team Racing (Europe),Crash Tag Team Racing,,ULES-00168/P
Redump,Crash Tag Team Racing (France),Crash Tag Team Racing,,ULES-00169
Redump,Crash Tag Team Racing (Germany),Crash Tag Team Racing,,ULES-00170
Redump,Crash Tag Team Racing (Italy),Crash Tag Team Racing,,ULES-00172/E
Redump,Crash Tag Team Racing (Netherlands),Crash Tag Team Racing,,ULES-00173
Redump,Crash Tag Team Racing (Spain),Crash Tag Team Racing,,ULES-00171
Redump,Crash Tag Team Racing (USA),Crash Tag Team Racing,,ULUS-10044
Redump,"Crazy Taxi - Fare Wars (Europe) (En,Fr,De,Es,It)",Crazy Taxi: Fare Wars,,ULES-00811
Redump,Crazy Taxi - Fare Wars (USA) (v1.01),Crazy Taxi: Fare Wars,,ULUS-10273
Redump,Crazy Taxi - Fare Wars (USA) (v2.01),Crazy Taxi: Fare Wars,,ULUS-10273
Redump,Criminal Girls (Japan),Criminal Girls,クリミナルガールズ,ULJS 00323
Redump,Crimson Gem Saga (USA),Crimson Gem Saga,,ULUS-10400
Redump,Crimson Room Reverse (Japan),,,ULJM 05408
Redump,Crisis Core - Final Fantasy VII (Europe),Crisis Core: Final Fantasy VII,,ULES-01044
Redump,Crisis Core - Final Fantasy VII (France),Crisis Core: Final Fantasy VII,,ULES-01045
Redump,Crisis Core - Final Fantasy VII (Germany),Crisis Core: Final Fantasy VII,,ULES-01046
Redump,Crisis Core - Final Fantasy VII (Germany),Crisis Core: Final Fantasy VII,,ULES-01046/P
Redump,Crisis Core - Final Fantasy VII (Italy),Crisis Core: Final Fantasy VII,,ULES-01047
Redump,Crisis Core - Final Fantasy VII (Italy),Crisis Core: Final Fantasy VII,,ULES-01047/P
Redump,"Crisis Core - Final Fantasy VII (Japan, Asia)",Crisis Core: Final Fantasy VII,クライシスコア　～ファイナルファンタジーⅦ～,UCAS-40167
Redump,"Crisis Core - Final Fantasy VII (Japan, Asia)",Crisis Core: Final Fantasy VII,クライシスコア　～ファイナルファンタジーⅦ～,UCAS-40272
Redump,"Crisis Core - Final Fantasy VII (Japan, Asia)",Crisis Core: Final Fantasy VII,クライシスコア　～ファイナルファンタジーⅦ～,ULJM 05275
Redump,"Crisis Core - Final Fantasy VII (Japan, Asia)",Crisis Core: Final Fantasy VII,クライシスコア　～ファイナルファンタジーⅦ～,ULJM 05517
Redump,Crisis Core - Final Fantasy VII (Spain),Crisis Core: Final Fantasy VII,,ULES-01048
Redump,Crisis Core - Final Fantasy VII (USA),Crisis Core: Final Fantasy VII,,ULUS-10336
Redump,Crisis Core - Final Fantasy VII (USA),Crisis Core: Final Fantasy VII,,ULUS-10336GH
Redump,"Crush (Europe) (En,Fr,De,Es,It)",Crush,,ULES-00765
Redump,"Crush (USA) (En,Fr,Es)",Crush,,ULUS-10238
Redump,CS Kensa Disc (J1) (Japan),CS Kensa Disc (J1),ＣＳ検査ディスク（Ｊ１）,UMDT 99872
Redump,"Cube (Europe) (En,Fr,De,Es,It)",Cube,Cube: 3D Puzzle Mayhem,ULES-00722
Redump,Cube (USA),Cube,,ULUS-10223
Redump,Custom Drive (Japan),,,ULJS 00503
Redump,D.C. Girl's Symphony Pocket (Japan),D.C. Girl's Symphony Pocket,～ダ・カーポ～　ガールズシンフォニーポケット,ULJM 05690
Redump,D.C.I&II P.S.P. - Da Capo I & II - Plus Situation Portable (Japan) (Disc 1),,,ULJM 05718
Redump,D.C.I&II P.S.P. - Da Capo I & II - Plus Situation Portable (Japan) (Disc 2),,,ULJM 05719
Redump,Dai-2-Ji Super Robot Taisen Z Hakai-hen (Japan),Dai-2-Ji Super Robot Taisen Z Hakai-hen,第２次スーパーロボット大戦Ｚ　破界篇,ULJS 00379
Redump,Dai-2-Ji Super Robot Taisen Z Hakai-hen (Japan),Dai-2-Ji Super Robot Taisen Z Hakai-hen,第２次スーパーロボット大戦Ｚ　破界篇,ULJS-00352
Redump,Dai-2-Ji Super Robot Taisen Z Saisei-hen (Japan),Dai-2-Ji Super Robot Taisen Z Saisei-hen,第２次スーパーロボット大戦Ｚ　再世篇,ULJS-00460
Redump,Daikoukai Jidai IV - Rota Nova (Japan),,,ULJM 05248
Redump,Daikoukai Jidai IV - Rota Nova (Japan),,,ULJM 06157
Redump,Daisenryaku Portable (Japan),,,ULJM 06041
Redump,Daisenryaku Portable 2 (Japan),Daisenryaku Portable 2,大戦略　ポータブル　２,ULJM 05205
Redump,Daito Giken Koushiki Pachi-Slot Simulator - Ossu! Banchou Portable (Japan),Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Banchou Portable,大都技研公式パチスロシミュレーター 押忍！番長 ポータブル,ULJS 00052
Redump,"Daito Giken Koushiki Pachi-Slot Simulator - Ossu! Misao, Maguro Densetsu Portable (Japan)","Daito Giken Koushiki Pachi-Slot Simulator: Ossu! Misao, Maguro Densetsu Portable",大都技研公式パチスロシミュレーター　押忍！操・鮪伝説　ＰＯＲＴＡＢＬＥ,ULJS 00309
Redump,Daito Giken Koushiki Pachi-Slot Simulator - Yoshimune Portable (Japan),Daito Giken Koushiki Pachi-Slot Simulator: Yoshimune Portable,大都技研公式パチスロシミュレーター　吉宗　ポータブル,ULJS 00060
Redump,Danball Senki (Japan),Danball Senki,ダンボール戦機,ULJS 00361
Redump,Danball Senki Boost (Japan),Danball Senki Boost,ダンボール戦機　ブースト,ULJM 05990
Redump,Danball Senki W (Japan),Danball Senki W,ダンボール戦機Ｗ,ULJM 06096
Redump,Danganronpa - Kibou no Gakuen to Zetsubou no Koukousei (Japan),Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei,ダンガンロンパ　希望の学園と絶望の高校生,ULJS 00337
Redump,Danganronpa - Kibou no Gakuen to Zetsubou no Koukousei (Japan) (PSP the Best),Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei,ダンガンロンパ　希望の学園と絶望の高校生,ULJS 00438
Redump,Danganronpa - Kibou no Gakuen to Zetsubou no Koukousei (Japan) (PSP the Best),Danganronpa: Kibou no Gakuen to Zetsubou no Koukousei,ダンガンロンパ　希望の学園と絶望の高校生,ULJS 19060
Redump,Dante's Inferno (Europe),Dante's Inferno,,ULES-01384
Redump,Dante's Inferno (France),Dante's Inferno,,ULES-01385
Redump,Dante's Inferno (Germany),Dante's Inferno,,ULES-01387
Redump,Dante's Inferno (Italy),Dante's Inferno,,ULES-01386
Redump,Dante's Inferno (Korea),Dante's Inferno,단테스 인페르노,ULKS 46248
Redump,Dante's Inferno (Spain),Dante's Inferno,,ULES-01388
Redump,Dante's Inferno (USA),Dante's Inferno,,ULUS-10469
Redump,"Dariusburst (Japan) (En,Ja)",Dariusburst,ダライアスバースト,ULJM 05558
Redump,Darkstalkers Chronicle - The Chaos Tower (Europe),Darkstalkers Chronicle: The Chaos Tower,,ULES-00016
Redump,Darkstalkers Chronicle - The Chaos Tower (USA),Darkstalkers Chronicle: The Chaos Tower,,ULUS-10005
Redump,"Dave Mirra BMX Challenge (Europe) (En,Fr,De,Es,It)",Dave Mirra BMX Challenge,,ULES-00773
Redump,Dave Mirra BMX Challenge (USA),Dave Mirra BMX Challenge,,ULUS-10204
Redump,"Daxter (Europe) (En,Fr,De,Es,It)",Daxter,,UCES-00044
Redump,"Daxter (Europe) (En,Fr,De,Es,It)",Daxter,,UCES-00044/P
Redump,Daxter (Korea),,,UCKS 45025
Redump,Daxter (USA) (Demo),Daxter,,UCUS 98654
Redump,"Daxter (USA) (En,Fr,De,Es,It)",Daxter,,UCUS 98618
Redump,"Daxter (USA) (En,Fr,De,Es,It)",Daxter,,UCUS 98764
Redump,"Daxter (USA) (En,Fr,De,Es,It) (Beta) (2006-02-02)",Daxter,,UCUS-98618
Redump,Dead End - Orchestral Manoeuvres in the Dead End (Japan),,,ULJM 05907
Redump,Dead Head Fred - Kubinashi Tantei no Akumu (Japan),,,ULJS 00136
Redump,Dead Head Fred (Europe),Dead Head Fred,,ULES-00902
Redump,"Dead Head Fred (Europe) (En,Fr,De,Es,It)",Dead Head Fred,,ULES-00903
Redump,Dead Head Fred (USA),Dead Head Fred,,ULUS-10288
Redump,Dead Head Fred (USA) (Demo),Dead Head Fred,,ULUS 90002
Redump,"Dead or Alive - Paradise (Europe) (En,Fr,De) (ULES-01416)",Dead or Alive: Paradise,,ULES-01416
Redump,"Dead or Alive - Paradise (Europe) (En,Fr,De) (ULES-01431)",Dead or Alive: Paradise,,ULES-01431
Redump,"Dead or Alive - Paradise (Japan) (En,Ja,Fr,De)",Dead or Alive: Paradise,デッド オア アライブ パラダイス,TCM 30002
Redump,"Dead or Alive - Paradise (Japan) (En,Ja,Fr,De)",Dead or Alive: Paradise,デッド オア アライブ パラダイス,ULJM 05640
Redump,"Dead or Alive - Paradise (USA) (En,Ja,Fr,De)",Dead or Alive: Paradise,,ULUS-10521
Redump,"Dead to Rights - Reckoning (Europe) (En,Fr,De,Es,It)",Dead to Rights: Reckoning,,ULES-00195
Redump,Dead to Rights - Reckoning (USA),Dead to Rights: Reckoning,,ULUS-10023
Redump,Deardrops Distortion (Japan),,,ULJM 05819
Redump,Death Connection Portable (Japan),,,ULJM 05823
Redump,"Death Jr. (Europe) (En,Fr,De,Es,It)",Death Jr.,,ULES-00144
Redump,Death Jr. (USA),Death Jr.,,ULUS-10027
Redump,"Death Jr. II - Root of Evil (Europe) (En,Fr,De,Es,It)",Death Jr. II: Root of Evil,Death Jr. 2: Root of Evil,ULES-00582
Redump,Death Jr. II - Root of Evil (USA),Death Jr. II: Root of Evil,Death Jr. 2: Root of Evil,ULUS-10157
Redump,Def Jam - Fight for NY - The Takeover (Europe),Def Jam: Fight for NY: The Takeover,,ULES-00390
Redump,Def Jam - Fight for NY - The Takeover (USA),Def Jam: Fight for NY: The Takeover,,ULUS-10100
Redump,Demo Disc for PSP Vol. 1 (Australia),Demo Disc for PSP Vol. 1,,UCJB-98304
Redump,Demo Disc for PSP Vol. 1 (Europe) (UCJB-98302),Demo Disc for PSP Vol. 1,,UCJB-98302
Redump,Demo Disc for PSP Vol. 1 (Europe) (UCJB-98303),Demo Disc for PSP Vol. 1,,UCJB-98303
Redump,Demo Disc for PSP Vol. 1 (Europe) (UCJB-98306),Demo Disc for PSP Vol. 1,,UCJB-98306
Redump,Demo Disc for PSP Vol. 1 (Japan),Demo Disc for PSP Vol. 1,,UCJB 98001
Redump,Demo Disc for PSP Vol. 2 (Japan),Demo Disc for PSP Vol. 2,,UCJB 98002
Redump,Dengeki no Pilot - Tenkuu no Kizuna (Japan),,,ULJS 00248
Redump,Densetsu no Yuusha no Densetsu - Legendary Saga (Japan),Densetsu no Yuusha no Densetsu: Legendary Saga,伝説の勇者の伝説 レジェンダリーサーガ,ULJM 05588
Redump,Densha de Go! Pocket - Chuuousen-hen (Japan),Densha de Go! Pocket: Chuuousen-hen,電車でＧＯ！ＰＯＣＫＥＴ 中央線編,ULJM 05084
Redump,Densha de Go! Pocket - Osaka Kanjousen-hen (Japan),Densha de Go! Pocket: Osaka Kanjousen-hen,電車でＧＯ！ポケット　～大阪環状線編～,ULJM 05211
Redump,Densha de Go! Pocket - Tokaidosen-hen (Japan),Densha de Go! Pocket: Tokaidosen-hen,電車でＧＯ　ポケット　東海道線編,ULJM 05152
Redump,Densha de Go! Pocket - Yamanotesen-hen (Japan),Densha de Go! Pocket: Yamanotesen-hen,電車でＧＯ！ポケット:　山手線編,ULJM 05039
Redump,Derby Time (Japan) (v1.06),,,UCJS 10006
Redump,Derby Time (Japan) (v2.00),,,UCJS 18004
Redump,Derby Time 2006 (Japan),Derby Time 2006,ダービータイム２００６,UCJS 10027
Redump,Desi Adda - Games of India (India),Desi Adda: Games of India,,UCES-01279
Redump,"Despicable Me - The Game (USA) (En,Fr,Es)",Despicable Me: The Game,,ULUS-10534
Redump,"Despicable Me (Europe) (En,Fr,De,Es,It,Sv,No,Da,Fi)",Despicable Me,,ULES-01447
Redump,Dia no Kuni no Alice - Wonderful Mirror World (Japan),Dia no Kuni no Alice: Wonderful Mirror World,ダイヤの国のアリス　～Ｗｏｎｄｅｒｆｕｌ　Ｍｉｒｒｏｒ　Ｗｏｒｌｄ～,ULJM 06295
Redump,"Diabolik - The Original Sin (Europe) (En,Fr,De,Es,It)",Diabolik: The Original Sin,,ULES-01248
Redump,Diabolik Lovers - Haunted Dark Bridal (Japan),Diabolik Lovers: Haunted Dark Bridal,ディアボリック　ラヴァーズ　～Ｈａｕｎｔｅｄ　ｄａｒｋ　ｂｒｉｄａｌ～,ULJM 06162
Redump,Diabolik Lovers - Haunted Dark Bridal (Japan),Diabolik Lovers: Haunted Dark Bridal,ディアボリック　ラヴァーズ　～Ｈａｕｎｔｅｄ　ｄａｒｋ　ｂｒｉｄａｌ～,ULJM 06163
Redump,"Diabolik Lovers - More, Blood (Japan)","Diabolik Lovers: More, Blood",,ULJM 06310
Redump,"Diabolik Lovers - More, Blood (Japan)","Diabolik Lovers: More, Blood",,ULJM 06311
Redump,Dies Irae - Amantes Amentes (Japan) (Disc 1),,,ULJM 06107
Redump,Dies Irae - Amantes Amentes (Japan) (Disc 2),,,ULJM 06108
Redump,Digimon Adventure (Japan),Digimon Adventure,デジモンアドベンチャー,ULJS 00541
Redump,Digimon World Re-Digitize (Japan),Digimon World Re:Digitize,デジモンワールド　リ:デジタイズ,ULJS 00496
Redump,Diner Dash - Sizzle & Serve (USA),Diner Dash: Sizzle & Serve,,ULUS-10264
Redump,"Diner Dash (Europe) (En,Fr,De,Es,It)",Diner Dash,,ULES-00755
Redump,Dirt 2 (USA),DiRT 2,,ULUS-10471
Redump,Disgaea - Afternoon of Darkness (Asia),Disgaea: Afternoon of Darkness,,UCAS 40223
Redump,Disgaea - Afternoon of Darkness (Europe),Disgaea: Afternoon of Darkness,,ULES-00999
Redump,Disgaea - Afternoon of Darkness (USA),Disgaea: Afternoon of Darkness,,ULUS-10308
Redump,Disgaea 2 - Dark Hero Days (Europe),Disgaea 2: Dark Hero Days,,ULES-01392
Redump,Disgaea 2 - Dark Hero Days (USA),Disgaea 2: Dark Hero Days,,ULUS-10461
Redump,Disgaea Infinite (Japan),,,ULJS 00286
Redump,Disgaea Infinite (USA),Disgaea Infinite,,ULUS-10522
Redump,Disgaea Infinite (USA) (Beta) (2010-02-09),Disgaea Infinite,,ULUS-10522
Redump,"Disgaea Portable (Korea) (Zh,Ko)",Disgaea Portable,디스가이아 포터블,UCKS 45157
Redump,Disney - Pixar Ratatouille (Russia),Disney · Pixar Ratatouille,Disney · Пиксар Рататуй,ULES-00748#
Redump,Disney - Pixar Rottatouille (Norway),Disney · Pixar Rottatouille,,ULES-00745
Redump,"Disney G-Force (Europe) (De,It)",Disney G-Force,,ULES-01239
Redump,"Disney G-Force (Europe) (En,Fr,Es)",Disney G-Force,,ULES-01238
Redump,Disney G-Force (Russia),Disney G-Force,Миссия Дарвина,ULES-01240
Redump,Disney G-Force (USA),Disney G-Force,,ULUS-10439
Redump,"Disney Phineas and Ferb - Across the 2nd Dimension (Europe) (En,Fr,De,Es,It,Nl,Pt,Pl,Ru,El)",Disney Phineas and Ferb: Across the 2nd Dimension,,UCES-01564
Redump,"Disney Phineas and Ferb - Across the 2nd Dimension (Europe) (En,Fr,De,Es,It,Nl,Pt,Pl,Ru,El)",Disney Phineas and Ferb: Across the 2nd Dimension,,UCES-01564/E
Redump,"Disney Pirates of the Caribbean - At World's End (Europe) (En,Fr,De,Es,It,Nl)",Disney Pirates of the Caribbean: At World's End,,ULES-00727
Redump,"Disney Pirates of the Caribbean - At World's End (Europe) (En,Fr,De,Es,It,Nl)",Disney Pirates of the Caribbean: At World's End,,ULES-00727/E
Redump,Disney Pirates of the Caribbean - At World's End (Russia),Disney Pirates of the Caribbean: At World's End,Пираты Карибского моря: На краю света,ULES-00728
Redump,Disney Pirates of the Caribbean - At World's End (USA),Disney Pirates of the Caribbean: At World's End,,ULUS 10252
Redump,"Disney TRON - Evolution (Europe) (En,Fr,De,Es,It,Nl)",Disney TRON: Evolution,,ULES-01494
Redump,Disney TRON - Evolution (Russia),Disney TRON: Evolution,Disney ТРОН: Эволюция,ULES-01495
Redump,"Disney TRON - Evolution (USA) (En,Fr,Es)",Disney TRON: Evolution,,ULUS-10548
Redump,"Disney-Pixar Cars - Race-O-Rama (Europe) (En,Fr,De,Es,It)",Disney/Pixar Cars: Race-O-Rama,,ULES-01333
Redump,Disney-Pixar Cars - Race-O-Rama (USA),Disney/Pixar Cars: Race-O-Rama,,ULUS-10428
Redump,Disney-Pixar Cars (Denmark),Disney/Pixar Cars,Disney/Pixar Biler,ULES-00328
Redump,Disney-Pixar Cars (Europe),Disney/Pixar Cars,,ULES-00319
Redump,Disney-Pixar Cars (Europe),Disney/Pixar Cars,,ULES-00319#
Redump,Disney-Pixar Cars (Europe),Disney/Pixar Cars,,ULES-00319/P
Redump,Disney-Pixar Cars (Finland),Disney/Pixar Cars,Disney/Pixar Autot,ULES-00329
Redump,Disney-Pixar Cars (France),Disney/Pixar Cars,Disney/Pixar Cars Quatre Roues,ULES-00321
Redump,Disney-Pixar Cars (Germany),Disney/Pixar Cars,,ULES-00323
Redump,Disney-Pixar Cars (Italy),Disney/Pixar Cars,Disney/Pixar Cars: Motori Ruggenti,ULES-00325
Redump,Disney-Pixar Cars (Netherlands),Disney/Pixar Cars,,ULES-00322
Redump,Disney-Pixar Cars (Norway),Disney/Pixar Cars,Disney/Pixar Biler,ULES-00326
Redump,Disney-Pixar Cars (Portugal),Disney/Pixar Cars,Disney/Pixar Carros,ULES-00320#
Redump,Disney-Pixar Cars (Spain),Disney/Pixar Cars,,ULES-00324#
Redump,Disney-Pixar Cars (Sweden),Disney/Pixar Cars,Disney/Pixar Bilar,ULES-00327
Redump,Disney-Pixar Cars (USA),Disney/Pixar Cars,,ULUS-10073
Redump,"Disney-Pixar Cars 2 (Europe) (En,Fr,De,Es,It,Nl,Pt,Pl,Ru)",Disney/Pixar Cars 2,,UCES-01534
Redump,"Disney-Pixar Cars 2 (Europe) (En,Fr,De,Es,It,Nl,Pt,Pl,Ru)",Disney/Pixar Cars 2,,UCES-01534/9271918
Redump,"Disney-Pixar Cars 2 (Europe) (En,Fr,De,Es,It,Nl,Pt,Pl,Ru)",Disney/Pixar Cars 2,,UCES-01534/POR
Redump,Disney-Pixar Cars 2 (USA),Disney/Pixar Cars 2,,UCUS-98766
Redump,Disney-Pixar Istoriya igrushek - Bol'shoj pobeg (Russia),Disney/Pixar Istoriya igrushek: Bol'shoj pobeg,Disney/Pixar История игрушек: Большой побег,ULES-01404
Redump,Disney-Pixar Oben (Germany),Disney/Pixar Oben,,ULES-01254
Redump,Disney-Pixar Ratatouille (Denmark),Disney/Pixar Ratatouille,,ULES-00742
Redump,Disney-Pixar Ratatouille (Europe),Disney/Pixar Ratatouille,,ULES-00741#
Redump,Disney-Pixar Ratatouille (France),Disney/Pixar Ratatouille,,ULES-00734
Redump,Disney-Pixar Ratatouille (Germany),Disney/Pixar Ratatouille,,ULES-00736
Redump,Disney-Pixar Ratatouille (Greece),Disney/Pixar Ratatouille,Disney/Pixar Ο Ρατατούης,ULES 00743
Redump,Disney-Pixar Ratatouille (Italy),Disney/Pixar Ratatouille,,ULES-00744
Redump,Disney-Pixar Ratatouille (Netherlands),Disney/Pixar Ratatouille,,ULES-00735
Redump,Disney-Pixar Ratatouille (Spain),Disney/Pixar Ratatouille,,ULES-00737
Redump,Disney-Pixar Ratatouille (Sweden),Disney/Pixar Ratatouille,Disney/Pixar Råttatouille,ULES-00746
Redump,Disney-Pixar Ratatouille (USA),Disney/Pixar Ratatouille,,ULUS-10247
Redump,Disney-Pixar Ratatui (Portugal),Disney/Pixar Ratatui,,ULES-00738
Redump,"Disney-Pixar Toy Story 3 (Europe) (En,Es) (v1.01)",Disney/Pixar Toy Story 3,,ULES-01406
Redump,"Disney-Pixar Toy Story 3 (Europe) (En,Es) (v2.00)",Disney/Pixar Toy Story 3,,ULES-01406
Redump,"Disney-Pixar Toy Story 3 (Europe) (Fr,De,It,Nl)",Disney/Pixar Toy Story 3,,ULES-01405
Redump,"Disney-Pixar Toy Story 3 (USA) (En,Fr,Es)",Disney/Pixar Toy Story 3,,ULUS-10507
Redump,Disney-Pixar Up - Altamente! (Portugal),Disney/Pixar Up: Altamente!,,ULES-01258
Redump,"Disney-Pixar Up (Europe) (En,Fr)",Disney/Pixar Up,,ULES-01253
Redump,"Disney-Pixar Up (Europe) (Fr,Nl)",Disney/Pixar Up,Disney/Pixar Là-Haut,ULES-01263
Redump,Disney-Pixar Up (Greece),Disney/Pixar Up,Ψηλα Στον Ουρανο,ULES-01259
Redump,Disney-Pixar Up (Italy),Disney/Pixar Up,,ULES-01257#
Redump,Disney-Pixar Up (Italy),Disney/Pixar Up,,ULES-01257/E
Redump,Disney-Pixar Up (Russia),Disney•Pixar Up,Disney•Pixar Вверх,ULES-01255#
Redump,Disney-Pixar Up (Spain),Disney/Pixar Up,,ULES-01256
Redump,Disney-Pixar Up (USA),Disney/Pixar Up,,ULUS-10430
Redump,Disney-Pixar WALL-E - Der Letzte raeumt die Erde auf (Germany),Disney/Pixar WALL-E: Der Letzte räumt die Erde auf,,ULES-01082
Redump,Disney-Pixar WALL-E (Asia),,,ULAS 42181
Redump,Disney-Pixar WALL-E (Europe),Disney/Pixar WALL-E,,ULES-01072
Redump,"Disney-Pixar WALL-E (Europe) (Es,Pt)",Disney/Pixar WALL-E,,ULES-01075
Redump,"Disney-Pixar WALL-E (Europe) (Fr,Nl)",Disney/Pixar WALL-E,,ULES-01076
Redump,"Disney-Pixar WALL-E (Europe) (No,Da)",Disney/Pixar WALL-E,,ULES-01073
Redump,Disney-Pixar WALL-E (Italy),Disney/Pixar WALL-E,,ULES-01080
Redump,Disney-Pixar WALL-E (Russia),Disney/Pixar WALL-E,Disney/Pixar ВАЛЛ-И,ULES-01081
Redump,Disney-Pixar WALL-E (Russia),Disney/Pixar WALL-E,Disney/Pixar ВАЛЛ-И,ULES-01081#
Redump,Disney-Pixar WALL-E (Sweden),Disney/Pixar WALL-E,,ULES-01074
Redump,"Disney-Pixar WALL-E (United Arab Emirates) (En,Ar)",Disney-Pixar WALL-E,,ULES-01079
Redump,Disney-Pixar WALL-E (USA),Disney/Pixar WALL-E,,ULUS 10350
Redump,"Dissidia 012 - Duodecim Final Fantasy (Asia) (En,Zh,Ko)",Dissidia 012: Duodecim Final Fantasy,디시디아 012 듀오데심 파이널 판타지,UCAS 40329
Redump,"Dissidia 012 - Duodecim Final Fantasy (Asia) (En,Zh,Ko)",Dissidia 012: Duodecim Final Fantasy,디시디아 012 듀오데심 파이널 판타지,UCKS 45166
Redump,"Dissidia 012 - Duodecim Final Fantasy (Europe) (En,Fr,De,Es,It)",Dissidia 012: Duodecim Final Fantasy,Dissidia 012: [duodecim] Final Fantasy,ULES-01505
Redump,Dissidia 012 - Duodecim Final Fantasy (Japan),Dissidia 012: Duodecim Final Fantasy,ディシディア　デュオデシム　ファイナルファンタジー,ULJM 05814
Redump,Dissidia 012 - Duodecim Final Fantasy (Japan),Dissidia 012: Duodecim Final Fantasy,ディシディア　デュオデシム　ファイナルファンタジー,ULJM 06121
Redump,"Dissidia 012 - Duodecim Final Fantasy (USA) (En,Fr,De,Es,It)",Dissidia 012: Duodecim Final Fantasy,Dissidia 012: [duodecim] Final Fantasy,ULUS 10566
Redump,Dissidia Final Fantasy - Universal Tuning (Japan),Dissidia Final Fantasy: Universal Tuning,ディシディアファイナルファンタジー: ユニバーサルチューニング,ULJM 05550
Redump,Dissidia Final Fantasy - Universal Tuning (Japan),Dissidia Final Fantasy: Universal Tuning,ディシディアファイナルファンタジー: ユニバーサルチューニング,ULJM 05761
Redump,Dissidia Final Fantasy (Asia),Dissidia Final Fantasy,太空戰士: 紛爭,UCAS-40274
Redump,"Dissidia Final Fantasy (Europe) (En,Fr,De,Es,It)",Dissidia Final Fantasy,,ULES-01270
Redump,"Dissidia Final Fantasy (Europe) (En,Fr,De,Es,It)",Dissidia Final Fantasy,,ULES-01270/E
Redump,Dissidia Final Fantasy (Japan),Dissidia Final Fantasy,ディシディア・ファイナル・ファンタジー,ULJM 05262
Redump,Dissidia Final Fantasy (Japan),Dissidia Final Fantasy,ディシディア・ファイナル・ファンタジー,ULJM 05405
Redump,Dissidia Final Fantasy (Japan),Dissidia Final Fantasy,ディシディア・ファイナル・ファンタジー,ULJM 05760
Redump,Dissidia Final Fantasy (Korea),Dissidia Final Fantasy,디시디아 파이널 판타지,UCKS 45107
Redump,Dissidia Final Fantasy (Russia),Dissidia Final Fantasy,,UCES-01229
Redump,Dissidia Final Fantasy (USA),Dissidia Final Fantasy,,ULUS-10437
Redump,DJ Max Emotional Sense - Fever (USA),DJ Max Emotional Sense: Fever,,ULUS-10403
Redump,DJ Max Portable - Black Square (Japan),DJ Max Portable: Black Square,DJマックスポータブルブラックスクエア,ULJM 06034
Redump,"DJ Max Portable - Black Square (Korea) (En,Ja,Ko)",DJ Max Emotional Sense P: Black Square,,ULKS 46189
Redump,"DJ Max Portable - Clazziquai Edition (Korea) (En,Ja,Ko)",DJ Max Emotional Sense P: Clazziquai Edition,,ULKS 46190
Redump,"DJ Max Portable - Hot Tunes (Korea) (En,Ja,Ko)",DJ Max Portable: Hot Tunes,디제이맥스　포터블：　핫튠즈,ULKS 46240
