Release Type,Name,Title,Foreign Title,Serial
Redump,7th Dragon 2020 (Japan),7th Dragon 2020,セブンスドラゴン2020,ULJM 05923
Redump,7th Dragon 2020-II (Japan),7th Dragon 2020-II,セブンスドラゴン２０２０－Ⅱ,ULJM 06229
Redump,-8 (Japan),-8,マイナスエイト,ULJM 06340
Redump,-8 (Japan),-8,マイナスエイト,ULJM 06341
Redump,A la croisee des mondes - La Boussole d'or (France),À la croisée des mondes: La Boussole d'or,,ULES-00951
Redump,Abunai - Koi no Sousa Shitsu (Japan),Abunai: Koi no Sousa Shitsu,アブナイ　恋の捜査室,ULJM 06050
Redump,Accel World - Gin'yoku no Kakusei (Japan),Accel World: Gin'yoku no Kakusei,アクセル・ワールド ―銀翼の覚醒―,ULJS 00510
Redump,Accel World - Kasoku no Chouten (Japan),Accel World: Kasoku no Chouten,アクセル・ワールド ―加速の頂点―,ULJS 00512
Redump,"Ace Combat - Joint Assault (Europe) (En,Ja,Fr,De,Es,It)",Ace Combat: Joint Assault,,ULES-01408
Redump,Ace Combat - Joint Assault (USA),Ace Combat: Joint Assault,,ULUS 10511
Redump,"Ace Combat X - Skies of Deception (Europe) (En,Ja,Fr,De,Es,It,Ko)",Ace Combat X: Skies of Deception,,UCES-00423
Redump,"Ace Combat X - Skies of Deception (Europe) (En,Ja,Fr,De,Es,It,Ko)",Ace Combat X: Skies of Deception,,UCES-00423#
Redump,"Ace Combat X - Skies of Deception (Europe) (En,Ja,Fr,De,Es,It,Ko)",Ace Combat X: Skies of Deception,,UCES-00423/P
Redump,"Ace Combat X - Skies of Deception (Japan) (En,Ja,Fr,De,Es,It,Ko) (v2.00)",Ace Combat X: Skies of Deception,エースコンバットＸ：　スカイズ・オブ・デセプション,ULJS 19018
Redump,"Ace Combat X - Skies of Deception (Japan, Asia) (En,Ja,Fr,De,Es,It,Ko) (v1.01)",Ace Combat X: Skies of Deception,エースコンバットＸ：　スカイズ・オブ・デセプション,UCAS 40120
Redump,"Ace Combat X - Skies of Deception (Japan, Asia) (En,Ja,Fr,De,Es,It,Ko) (v1.01)",Ace Combat X: Skies of Deception,エースコンバットＸ：　スカイズ・オブ・デセプション,ULJS 00086
Redump,"Ace Combat X - Skies of Deception (Korea) (En,Ko)",Ace Combat X: Skies of Deception,에이스 컴뱃 X: 스카이즈 오브 디셉션,UCKS 45038
Redump,"Ace Combat X - Skies of Deception (Korea) (En,Ko)",Ace Combat X: Skies of Deception,에이스 컴뱃 X: 스카이즈 오브 디셉션,UCKS 45067
Redump,"Ace Combat X - Skies of Deception (USA) (En,Ja,Fr,De,Es,It,Ko)",Ace Combat X: Skies of Deception,,ULUS 10176
Redump,Ace Combat X2 - Joint Assault (Japan),Ace Combat X2: Joint Assault,エースコンバットＸ２　ジョイントアサルト,ULJS 00290
Redump,Ace Combat X2 - Joint Assault (Japan),Ace Combat X2: Joint Assault,エースコンバットＸ２　ジョイントアサルト,ULJS 19057
Redump,Aces of War (Europe),Aces of War,,ULES-00590
Redump,Activision Hits Remixed (Europe),Activision Hits Remixed,,ULES-00640
Redump,Activision Hits Remixed (USA),Activision Hits Remixed,,ULUS-10186
Redump,Adventure Player (Japan),Adventure Player,アドベンチャープレイヤー,ULJS 00011
Redump,"Adventures to Go! (Europe) (En,Fr,De)",Adventures to Go!,,ULES-01383
Redump,Adventures to Go! (USA),Adventures to Go!,,ULUS-10417
Redump,Adventures to Go! (USA) (Beta) (2009-06-10),Adventures to Go!,,ULUS-10417
Redump,Aedis Eclipse - Generation of Chaos (USA),Aedis Eclipse: Generation of Chaos,,ULUS-10242
Redump,AFL Challenge (Australia),AFL Challenge,,ULES-01299
Redump,"After Burner - Black Falcon (Europe) (En,Fr,De,Es,It)",After Burner: Black Falcon,,ULES-00753
Redump,"After Burner - Black Falcon (Europe) (En,Fr,De,Es,It) (Alt)",After Burner: Black Falcon,,ULES-00785
Redump,"After Burner - Black Falcon (USA) (En,Fr,Es,It,Nl)",After Burner: Black Falcon,,ULUS-10244
Redump,Agarest Senki Mariage (Japan),,,ULJM 06100
Redump,AI Igo (Japan),,,ULJS 00008
Redump,AI Mahjong (Japan),AI Mahjong,ＡＩ麻雀,ULJS 00007
Redump,AI Shougi (Japan) (v1.04),,,ULJS 00009
Redump,AI Shougi (Japan) (v2.00),AI Shougi,ＡＩ将棋,ULJS 00009
Redump,AI Shougi (Japan) (v2.00),AI Shougi,ＡＩ将棋,ULJS 00101
Redump,Air (Japan),,,ULJM 05282
Redump,Air Conflicts - Aces of World War II (USA),Air Conflicts: Aces of World War II,,ULUS-10404
Redump,Airou de Puzzle (Japan),Airou de Puzzle,アイルーでパズルー,ULJM 06112
Redump,Akatsuki no Amaneka to Aoi Kyojin (Japan),,,ULJM 05846
Redump,Akatsuki no Goei Trinity (Japan) (Disc 1),,,ULJM 06174
Redump,Akatsuki no Goei Trinity (Japan) (Disc 2),,,ULJM 06175
Redump,AKB1-149 - Ren'ai Sousenkyo (Japan) (Data Install Senyou Disc),AKB1-149: Ren'ai Sousenkyo (Data Install Senyou Disc),ＡＫＢ１／１４９　恋愛総選挙,ULJS 00531
Redump,AKB1-149 - Ren'ai Sousenkyo (Japan) (Data Install Senyou Disc),AKB1-149: Ren'ai Sousenkyo (Data Install Senyou Disc),ＡＫＢ１／１４９　恋愛総選挙,ULJS 00533
Redump,AKB1-149 - Ren'ai Sousenkyo (Japan) (Game Disc),AKB1-149: Ren'ai Sousenkyo (Game Disc),ＡＫＢ１／１４９　恋愛総選挙,ULJS 00530
Redump,AKB1-149 - Ren'ai Sousenkyo (Japan) (Game Disc),AKB1-149: Ren'ai Sousenkyo (Game Disc),ＡＫＢ１／１４９　恋愛総選挙,ULJS 00532
Redump,AKB1-48 - Idol to Koishitara... (Japan),AKB1-48: Idol to Koishitara...,ＡＫＢ１／４８　アイドルと恋したら…,ULJS 00348
Redump,AKB1-48 - Idol to Koishitara... (Japan),AKB1-48: Idol to Koishitara...,ＡＫＢ１／４８　アイドルと恋したら…,ULJS 00480
Redump,AKB1-48+10 - Idol to Guam de Koishitara... (Japan),AKB1-48+10: Idol to Guam de Koishitara...,ＡＫＢ１／４８＋１０ アイドルとグアムで恋したら…,ULJS 00413
Redump,AKB1-48+10 - Idol to Guam de Koishitara... (Japan),AKB1-48+10: Idol to Guam de Koishitara...,ＡＫＢ１／４８＋１０ アイドルとグアムで恋したら…,ULJS 00414
Redump,Akiba's Trip (Japan),Akiba's Trip,アキバズトリップ,ULJM 05868
Redump,Akiba's Trip Plus (Japan),,,ULJM 06049
Redump,Aku Daikan Manyuki (Japan),Aku Daikan Manyuki,悪代官漫遊記,ULJM 05185
Redump,Akumajou Dracula X - Chronicle (Japan),Akumajou Dracula X: Chronicle,悪魔城ドラキュラ Xクロニクル,ULJM 05287
Redump,Akumajou Dracula X - Chronicle (Japan),Akumajou Dracula X: Chronicle,悪魔城ドラキュラ Xクロニクル,ULJM-05548
Redump,"Alien Syndrome (Europe) (En,Fr,De,Es,It)",Alien Syndrome,,ULES-00772
Redump,Alien Syndrome (USA),Alien Syndrome,,ULUS-10245
Redump,Aliens vs. Predator - Requiem (Europe),Aliens vs. Predator: Requiem,,ULES-00972
Redump,Aliens vs. Predator - Requiem (USA),Aliens vs. Predator: Requiem,,ULUS-10327
Redump,All Kamen Rider - Rider Generation 2 (Japan),All Kamen Rider: Rider Generation 2,オール仮面ライダー　ライダージェネレーション２,ULJS 00518
Redump,Amagami (Japan),Amagami,アマガミ,ULJS 00339
Redump,"Amagoushi no Yakata Portable - Ichiyanagi Nagomu, Saisho no Junan (Japan)","Amagoushi no Yakata Portable: Ichiyanagi Nagomu, Saisho no Junan",雨格子の館 PORTABLE 一柳和、最初の受難,ULJS 00216
Redump,Amatsumi Sora ni! Kumo no Hatate ni (Japan) (Disc 1),Amatsumi Sora ni! Kumo no Hatate ni (Disc 1),あまつみそらに！　雲のはたてに,ULJM 05992
Redump,Amnesia (Japan),Amnesia,アムネシア,ULJM 05930
Redump,Amnesia (Japan),Amnesia,アムネシア,ULJM 05931
Redump,Amnesia Crowd (Japan),Amnesia Crowd,アムネシア クラウド,ULJM 06265
Redump,Amnesia Crowd (Japan),Amnesia Crowd,アムネシア クラウド,ULJM 06266
Redump,Amnesia Later (Japan),Amnesia Later,アムネシアレイター,ULJM 06043
Redump,Amnesia Later (Japan),Amnesia Later,アムネシアレイター,ULJM 06044
Redump,Anata o Yurusanai (Japan),Anata o Yurusanai,アナタヲユルサナイ,ULJM 05279
Redump,Anata o Yurusanai (Japan),Anata o Yurusanai,アナタヲユルサナイ,ULJM 05351
Redump,Angelique - Maren no Rokukishi (Japan),Angelique: Maren no Rokukishi,アンジェリーク 魔恋の六騎士,ULJM 05985
Redump,Angelique - Maren no Rokukishi (Japan),Angelique: Maren no Rokukishi,アンジェリーク 魔恋の六騎士,ULJM 05986
Redump,Angelique Retour (Japan),,,ULJM 06402
Redump,Anohana - Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai. (Japan),Anohana: Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai.,あの日見た花の名前を僕達はまだ知らない。,ULJM 06115
Redump,Another Century's Episode Portable (Japan),Another Century's Episode Portable,アナザーセンチュリーズエピソード　ポータブル,ULJS 00322
Redump,Ao no Exorcist - Genkoku no Labyrinth (Japan),Ao no Exorcist: Genkoku no Labyrinth,青の祓魔師　幻刻の迷宮,ULJS 00423
Redump,Ao no Exorcist - Genkoku no Labyrinth (Japan),Ao no Exorcist: Genkoku no Labyrinth,青の祓魔師　幻刻の迷宮,ULJS 00424
Redump,"Ape Academy (Europe) (En,Fr,De,Es,It)",Ape Academy,,UCES-00010
Redump,"Ape Academy 2 (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru)",Ape Academy 2,,UCES-00302
Redump,"Ape Academy 2 (Europe) (En,Fr,De,Es,It,Nl,Pt,Ru) (Beta) (2006-06-19)",Ape Academy 2,,UCET-00445/0.01
Redump,Ape Escape - On the Loose (USA),Ape Escape: On the Loose,,UCUS-98609
Redump,"Ape Escape (Europe) (En,Fr,De,Es,It)",Ape Escape,Ape Escape P,UCES-00045
Redump,Ape Escape Academy (USA),Ape Escape Academy,,UCUS-98619
Redump,Ape Escape Academy (USA) (Demo),Ape Escape Academy,,UCUS 98629
Redump,Arcana Famiglia - Festa Regalo! (Japan),,,ULJM 06187
Redump,Arcana Famiglia - La Storia della Arcana Famiglia (Japan),Arcana Famiglia: La Storia della Arcana Famiglia,アルカナ・ファミリア　－Ｌａ　ｓｔｏｒｉａ　ｄｅｌｌａ　Ａｒｃａｎａ　Ｆａｍｉｇｌｉａ－,ULJM 05956
Redump,Arcana Famiglia - Vascello Phantasma no Majutsushi (Japan),Arcana Famiglia: Vascello Phantasma no Majutsushi,アルカナ・ファミリア　幽霊船(ヴァスチェロ・ファンタズマ)の魔術師,ULJM 06032
Redump,Arcana Famiglia 2 - La Storia della Arcana Famiglia (Japan),Arcana Famiglia 2: La Storia della Arcana Famiglia,アルカナ・ファミリア２,ULJM 06291
Redump,"Archer Maclean's Mercury (Europe, Australia) (En,Fr,De,Es,It)",Archer Maclean's Mercury,,ULES-00011
Redump,Archer Maclean's Mercury (USA),Archer Maclean's Mercury,,ULUS 10017
Redump,Arcobaleno! Portable (Japan),,,ULJM 05609
Redump,Are You Alice (Japan),Are you Alice?,,ULJM-05848
Redump,"Armored Core - Formula Front (Japan, Asia)",Armored Core: Formula Front,アーマード・コア フォーミュラフロント,UCAS 40004
