Release Type,Name,Domestic Title,Overseas Title,Product No.,Date,Hardware Designation,Company Code,Disc Type,Version,I/O Devices,Region
Redump,Surgical Strike (Japan),SURGICAL STRIKE,SURGICAL STRIKE,G-6044,1995.NOV,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J
Redump,Surgical Strike (USA),SURGICAL STRIKE,SURGICAL STRIKE,MK-4435,1995.MAR,SEGA GENESIS,(C)SEGA,GM,0,J,4
Redump,Surgical Strike (USA) (Alt),SURGICAL STRIKE,SURGICAL STRIKE,MK-4435,1995.MAR,SEGA GENESIS,(C)SEGA,GM,0,J,4
Redump,Switch (Japan),SWITCH,SWITCH,T-6009,1993.MAR,SEGA MEGA DRIVE,(C)SEGA,GM,0,JM,J
Redump,"Syndicate (Europe) (En,Fr,De)",SYNDICATE PUBLISHED BY DOMARK,SYNDICATE PUBLISHED BY DOMARK,T-88065,1995.AUG,SEGA MEGADRIVE,(C)T-88,GM,5,J,E
Redump,Tenbu Mega CD Special (Japan),TENBU,TENBU,T-32084,1992.DEC,SEGA MEGA DRIVE,(C)T-32,GM,0,J,J
Redump,Tenkafubu - Eiyuutachi no Houkou (Japan),天下布武,,T-45024,1991.DEC,SEGA MEGA DRIVE,(C)T-45,GM,0,JC,J
Redump,"Terminator, The (Europe)",THE TERMINATOR,THE TERMINATOR,T-70015,1993.NOV,SEGA MEGA DRIVE,(C)T-70,GM,0,J,E
Redump,"Terminator, The (USA)",THE TERMINATOR,THE TERMINATOR,T-70015,1993.NOV,SEGA GENESIS,(C)T-70,GM,0,J,U
Redump,"Theme Park (Europe) (En,Fr,De,Es)",THEME PARK PUBLISHED BY DOMARK,THEME PARK PUBLISHED BY DOMARK,T-88055,1995_JUL,SEGA MEGADRIVE,(C)T-88,GM,5,J,E
Redump,Third World War (USA),THE 3RD WORLD WAR,THE 3RD WORLD WAR,T-22025,1993.DEC,SEGA GENESIS,(C)T-22,GM,0,J,U
Redump,Thunder Storm FX (Japan),THUNDER STORM,COBRA COMMAND,T-32064,1992.AUG,SEGA MEGA DRIVE,(C)T-32,GM,1,J,JUE
Redump,"Thunderhawk (Europe) (En,Fr,De,Es) (RE)",THUNDERHAWK,THUNDERHAWK,T-115015,1993.SEP,SEGA MEGA DRIVE,(C)T-07,GM,0,J,E
Redump,Thunderhawk (Japan),THUNDERHAWK,THUNDERHAWK,T-60134,1993.SEP,SEGA MEGA DRIVE,(C)T-07,GM,0,J,J
Redump,Time Gal (Europe),TIME GAL,TIME GAL,MK-4417,1993.APR,SEGA MEGA DRIVE,(C)T-32,GM,0,J,JE
Redump,Time Gal (Japan),TIME GAL,TIME GAL,T-32114,1992.SEP,SEGA MEGA DRIVE,(C)T-32,GM,1,J,J
Redump,Time Gal (USA),TIME GAL,TIME GAL,T-6214,1993.APR,SEGA GENESIS,(C)T-49,GM,0,J,JU
Redump,Tomcat Alley (Australia),TOMCAT ALLEY,TOMCAT ALLEY,MK-4428,1994.MAR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E
Redump,Tomcat Alley (Europe),TOMCAT ALLEY,TOMCAT ALLEY,MK-4428,1994.MAR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,E
Redump,Tomcat Alley (France),TOMCAT ALLEY FRENCH,TOMCAT ALLEY FRENCH,MK-00442,1995.MAR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,8
Redump,Tomcat Alley (Germany),TOMCAT ALLEY GERMAN,TOMCAT ALLEY GERMAN,MK-00442,1995.MAR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,8
Redump,Tomcat Alley (Japan),TOMCAT ALLEY,TOMCAT ALLEY,G-006039,1994.OCT,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J
Redump,Tomcat Alley (Spain),TOMCAT ALLEY SPANISH,TOMCAT ALLEY SPANISH,MK-00442,1995.MAR,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,8
Redump,Tomcat Alley (USA),TOMCAT ALLEY,TOMCAT ALLEY,MK-4428,1994.MAR,SEGA GENESIS,(C)SEGA,GM,0,J,U
Redump,Tomcat Alley (USA) (Alt),TOMCAT ALLEY,TOMCAT ALLEY,MK-4428,1994.MAR,SEGA GENESIS,(C)SEGA,GM,0,J,U
Redump,Trivial Pursuit (USA),TRIVIAL PURSUIT,TRIVIAL PURSUIT,T-89015,1994.SEP,SEGA GENESIS,(C)T-89,GM,0,J,U
Redump,Ultraverse Prime (USA),PRIME,PRIME,T-93325,1994.DEC,SEGA GENESIS,(C)T-93,GM,0,J,U
Redump,Urusei Yatsura - Dear My Friends (Japan),URUSEI-YATSURA,URUSEI-YATSURA,T-45064,64  1994,SEGA MEGA DRIVE,(C)T-450,GM,0,J6M,J
Redump,Vay - Ryuusei no Yoroi (Japan),VAY,,44014,1993.SEP,SEGA MEGA DRIVE,(C)SIMS,GM,0,J,J
Redump,Vay (USA),VAY,VAY,T-127025,94.JUN,SEGA GENESIS,T-127 19,GM,0,J,U
Redump,Wakusei Woodstock - Funky Horror Band (Japan),SAMPLE INITIAL PROGRAM BY SEGA,SAMPLE INITIAL PROGRAM BY SEGA,0,1991.AUG,SEGA MEGA DRIVE,(C)SEGA,XX,0,J,J
Redump,Warau Salesman (Japan),WARAU SALESMAN,WARAU SALESMAN,G-6006,1993.AUG,SEGA MEGA DRIVE,(C)SEGA,GM,0,JM,J
Redump,What Is X'Eye Multi Entertainment System (USA),WONDER-MEGA DEMO,WONDER-MEGA DEMO,T-60114,1993.DEC,SEGA MEGA DRIVE,(C)T-60,GM,0,J6,U
Redump,Wheel of Fortune (USA),WHEEL OF FORTUNE,WHEEL OF FORTUNE,T-93085,1994.DEC,SEGA GENESIS,(C)T-93,GM,0,J4,U
Redump,Who Shot Johnny Rock (USA),WHO SHOT JOHNNY ROCK?,WHO SHOT JOHNNY ROCK?,T-111045,1994.JUL,SEGA GENESIS,(C)T-111,GM,0,JMG,U
Redump,Wild Woody (USA),WILD WOODY,WILD WOODY,MK-4440,1995.JUN,SEGA GENESIS,(C)SEGA,GM,0,J,U
Redump,Wing Commander (Japan),WING COMMANDER,WING COMMANDER,G-6011,ERPRISES,SEGA MEGA DRIVE,SEGA ENT,GM,0,J6,J
Redump,Wing Commander (USA),WING COMMANDER,WING COMMANDER,T-50045,1994.FEB,SEGA GENESIS,(C)T-50,GM,0,J6,U
Redump,Winning Post (Japan),WinningPost     ECTION,ECTION,T-76044,1993.JUL,SEGA MEGA DRIVE,(C)T-76,GM,0,J,J
Redump,WireHead (USA),WIREHEAD,WIREHEAD,MK-4437,1995.SEP,SEGA GENESIS,(C)SEGA,GM,0,J,U
Redump,Wolfchild (Europe),WOLFCHILD,WOLFCHILD,T-6403-0,1991.AUG,SEGA MEGA DRIVE,(C)SEGA,GM,,J,E
Redump,Wolfchild (Japan),WOLFCHILD,WOLFCHILD,T-60104,1991.AUG,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J
Redump,Wolfchild (USA),WOLFCHILD,WOLFCHILD,T-6403-0,1992.DEC,SEGA GENESIS,(C)T-98,GM,,J,U
Redump,Wonder Dog (Europe),WONDERDOG,WONDERDOG,4423-00,1993.JAN,SEGA MEGA DRIVE,(C)T-98,MK-,,J,E
Redump,Wonder Dog (Japan),WONDERDOG,WONDERDOG,T-60074,1992.JUL,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J
Redump,Wonder Dog (USA) (RE),WONDERDOG,WONDERDOG,T-6402,1992.DEC,SEGA GENESIS,(C)T-98,GM,,J,U
Redump,WonderMega Collection (Japan) (Rev 2),WONDER-MEGA COLLECTION,WONDER-MEGA COLLECTION,T-60064,1992.APR,SEGA MEGA DRIVE,(C)SEGA,GM,10,J,J
Redump,"World Cup USA '94 (Europe) (En,Fr,De,Es,It,Nl,Pt,Sv)",WORLD CUP USA'94,WORLD CUP USA'94,T-79025,1994.JUN,SEGA MEGADRIVE,(C)T-79,GM,0,J4,E
Redump,"World Cup USA '94 (USA) (En,Fr,De,Es,It,Nl,Pt,Sv)",WORLD CUP USA'94,WORLD CUP USA'94,T-79025,1994.JUN,SEGA GENESIS,(C)T-79,GM,0,J4,U
Redump,WWF - Rage in the Cage (Europe),WWF RAGE IN THE CAGE,WWF RAGE IN THE CAGE,T-81015,1993.NOV,SEGA MEGA DRIVE,(C)T-81,GM,0,J6,E
Redump,WWF - Rage in the Cage (USA),WWF RAGE IN THE CAGE,WWF RAGE IN THE CAGE,T-81015,1993.NOV,SEGA GENESIS,(C)T-81,GM,0,J6,U
Redump,WWF Mania Tour - WWF - Rage in the Cage (Japan),WWF RAGE IN THE CAGE,WWF RAGE IN THE CAGE,T-81015,1993.NOV,SEGA MEGA DRIVE,(C)T-81,GM,0,J6,J
Redump,Yumemi Mystery Mansion (Australia),YUMEMI MISTERY MANSION,YUMEMI MISTERY MANSION,MK- 4430,1994.FEB,SEGA MEGA DRIVE,(C)SEGA,GM,-,JM,E
Redump,Yumemi Mystery Mansion (Europe) (Made in EU),YUMEMI MISTERY MANSION,YUMEMI MISTERY MANSION,MK- 4430,1994.FEB,SEGA MEGA DRIVE,(C)SEGA,GM,-,JM,E
Redump,Yumemi Mystery Mansion (Europe) (Made in Japan),YUMEMI MISTERY MANSION,YUMEMI MISTERY MANSION,MK- 4430,1994.FEB,SEGA MEGA DRIVE,(C)SEGA,GM,-,JM,E
Redump,Yumemi Yakata no Monogatari (Japan),YUMEMIYAKATA NO MONOGATARI,YUMEMIYAKATA NO MONOGATARI,G-6027,1993.SEP,SEGA MEGA DRIVE,(C)SEGA,GM,0,JM,J
Redump,Yumimi Mix (Japan),ゆみみみっくす,,T-45034,1992.DEC,SEGA MEGA DRIVE,(C)T-45,GM,0,J,J
