Release Type,Name,Domestic Title,Overseas Title,Product No.,Date,Hardware Designation,Company Code,Disc Type,Version,I/O Devices,Region
Redump,Robo Aleste (Europe),電忍アレスタ,ROBO ALESTE,MK-4416,1993.MAR,SEGA MEGA DRIVE,(C)T-66,GM,0,J,E
Redump,Robo Aleste (USA),電忍アレスタ,ROBO ALESTE,T-48015,1993.MAR,SEGA MEGA DRIVE,(C)T-66,GM,0,J,U
Redump,Samurai Shodown (Europe),Samurai Shodown,Samurai Shodown,T-60175,1995.JUN,SEGA MEGA DRIVE,(C)T-60,GM,50,J6,E
Redump,Samurai Shodown (USA) (RE),Samurai Shodown,Samurai Shodown,T-60175,1995.JUN,SEGA GENESIS,(C)T-60,GM,0,J6,U
Redump,"San Diego Zoo Presents... The Animals!, The (Europe)",THE ANIMALS (SOFTWARE TOOLWORK,THE ANIMALS (SOFTWARE TOOLWORK,T-158015,1994.JUN,SEGA MEGA DRIVE,(C)T-158,GM,0,J,E
Redump,"San Diego Zoo Presents... The Animals!, The (USA)",THE ANIMALS (SOFTWARE TOOLWORK,THE ANIMALS (SOFTWARE TOOLWORK,T-87015,1994.APR,SEGA GENESIS,(C)T-87,GM,0,J,U
Redump,Sangokushi III (Japan),三國志Ⅲ        ECTION,ECTION,T-76014,1993.FEB,SEGA MEGA DRIVE,(C)T-76,GM,0,J,J
Redump,"Secret of Monkey Island, The (Japan)",MONKEY ISLAND,MONKEY ISLAND,T-60044,1993.8,SEGA MEGA DRIVE,(C)T-60,GM,0,JCBM,J
Redump,"Secret of Monkey Island, The (USA) (Limited Run Games)",MONKEY ISLAND,MONKEY ISLAND,T-60035,1993.8,SEGA GENESIS,(C)T-60,GM,0,JCBM,U
Redump,"Secret of Monkey Island, The (USA) (RE)",MONKEY ISLAND,MONKEY ISLAND,T-60035,1993.8,SEGA GENESIS,(C)T-60,GM,0,JCBM,U
Redump,Sega CD Demo (Japan) (Proto) (1992-05-29),DOMESTIC TITLE,OVERSEAS TITLE,T-32024,1991.DEC,SEGA MEGA DRIVE,(C)T-32,GM,1,J,J
Redump,Sega Classic Arcade Collection - Limited Edition (Japan),SEGA CLASSIC,SEGA CLASSIC,G-6012,1992.SEP,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J     10/09-1992
Redump,Sega Classics Arcade Collection - Limited Edition (Europe) (Rev A),SEGA CLASSIC,SEGA CLASSIC,G-6012,1992.DEC,SEGA MEGA DRIVE,(C)SEGA,GM,1,J,E     12/09-1992
Redump,Sega Classics Arcade Collection - Limited Edition (Europe) (Rev A) (Alt),SEGA CLASSIC,SEGA CLASSIC,G-6012,1992.DEC,SEGA MEGA DRIVE,(C)SEGA,GM,1,J,E     12/09-1992
Redump,Sega Classics Arcade Collection (USA) (4-in-1) (RE),SEGA CLASSIC,SEGA CLASSIC,G-6012,1992.SEP,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,U     10/09-1992
Redump,Sega Classics Arcade Collection (USA) (4-in-1) (RE2),SEGA CLASSIC,SEGA CLASSIC,G-6012,1992.DEC,SEGA MEGA DRIVE,(C)SEGA,GM,1,J,U     12/09-1992
Redump,Sega Classics Arcade Collection (USA) (5-in-1),SEGA CLASSIC,SEGA CLASSIC,G-6012,1992.DEC,SEGA MEGA DRIVE,(C)SEGA,GM,1,J,U     12/09-1992
Redump,"Seima Densetsu 3x3 Eyes (Japan, Korea)",SEGA 3X3EYES,SEGA 3X3EYES,G-6007,1993.JUN,SEGA MEGA DRIVE,(C)SEGA,GM,0,J,J
Redump,Seirei Shinseiki - Fhey Area (Japan),精霊神世紀フェイエリア,FHEYAREA,T-32034,1992.JAN,SEGA MEGA DRIVE,(C)T-32,GM,1,J,J
