Release Type,Name,Game Title,Product Number,Version,Hardware Identifier,Marker ID,Release Date,Device Information,Compatible Peripherals,Compatible Area Symbols
Redump,Angelique Duet (Japan),ANGELIQUE DUET,T-7662G,V1.002,SEGA SEGASATURN,SEGA TP T-76,19980616,CD-1/1,J,J
Redump,Angelique Special 2 (Japan),ANGELIQUE SPECIAL 2,T-7627G,V1.200,SEGA SEGASATURN,SEGA TP T-76,19970226,CD-1/1,J,J
Redump,Another Memories (Japan),ANOTHER MEMORIES,T-38001G,V1.002,SEGA SEGASATURN,SEGA TP T-380,19980430,CD-1/1,J,J
Redump,Aqua-world - Umi Monogatari (Japan),AQUA WORLD FOR SATURN,T-30301G,V1.100,SEGA SEGASATURN,SEGA TP T-303,19960610,CD-1/1,J,J
Redump,Arcade's Greatest Hits - The Atari Collection 1 (Europe),MIDWAY PRESENTS ARCADES GREATESTHITS            THE ATARI COLLECTION VOLUME 1,T-25413H,V1.000,SEGA SEGASATURN,SEGA TP T-254,19971212,CD-1/1,JAM,E
Redump,Arcade's Greatest Hits - The Atari Collection 1 (USA),MIDWAY PRESENTS ARCADES GREATESTHITS            THE ATARI COLLECTION VOLUME 1,T-9706H,V1.000,SEGA SEGASATURN,SEGA TP T-97,19970411,CD-1/1,JAM,U
Redump,Arcade's Greatest Hits (USA),WILLIAMS ARCADES GREATEST HITS,T-9703H,V1.000,SEGA SEGASATURN,SEGA TP T-97,19961118,CD-1/1,J,U
Redump,Arcana Strikes (Japan),ARCANE STRIKES,T-10311G,V1.001,SEGA SEGASATURN,SEGA TP T-103,19971017,CD-1/1,J,J
Redump,"Area 51 (Europe) (En,Fr,De,Es)",AREA 51,T-25408H,V1.000,SEGA SEGASATURN,SEGA TP T-254,19961231,CD-1/1,JG,E
Redump,Area 51 (Japan),AREA 51,T-18613G,V1.000,SEGA SEGASATURN,SEGA TP T-186,19961204,CD-1/1,JG,JT
Redump,Area 51 (USA) (Beta) (1996-11-08),AREA 51,T-9705H,V1.000,SEGA SEGASATURN,SEGA TP T-97,19961024,CD-1/1,JG,U
Redump,Area 51 (USA),AREA 51,T-9705H,V1.000,SEGA SEGASATURN,SEGA TP T-97,19961109,CD-1/1,JG,U
Redump,Astal (USA) (1S),ASTAL,MK-81019,V1.003,SEGA SEGASATURN,SEGA ENTERPRISES,19950606,CD-1/1,J,UT
Redump,Astal (USA) (2S),ASTAL,MK-81019,V1.003,SEGA SEGASATURN,SEGA ENTERPRISES,19950606,CD-1/1,J,UT
Redump,Astal (USA) (3S),ASTAL,MK-81019,V1.003,SEGA SEGASATURN,SEGA ENTERPRISES,19950606,CD-1/1,J,UT
Redump,Astra Superstars (Japan),ASTRA SUPERSTARS,T-1521G,V1.001,SEGA SEGASATURN,SEGA TP T-15,19980620,CD-1/1,AEJSW,J
Redump,"Atlantis - The Lost Tales (Europe) (En,De,Es) (Disc 1)",ATLANTIS CD1,MK-8109150,V1.200,SEGA SEGASATURN,SEGA ENTERPRISES,19980203,CD-1/2,J,E
Redump,"Atlantis - The Lost Tales (Europe) (En,De,Es) (Disc 2)",ATLANTIS CD2,MK-8109150,V1.200,SEGA SEGASATURN,SEGA ENTERPRISES,19980203,CD-2/2,J,E
Redump,Atlantis - The Lost Tales (France) (Disc 1),ATLANTIS CD1,MK-8109109,V1.200,SEGA SEGASATURN,SEGA ENTERPRISES,19980203,CD-1/2,J,E
